0,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,supplier,Region of origin,deposit,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Freshness guarantee (minimum),Refrigerated (+2 to +7°C) best before,Characteristics,Country of origin,Information about the offer,storage,May contain traces of,drained weight,of it strength,Description,Note on the freshness guarantee,Monounsaturated fatty acids,Insert currywurst slices,gross weight,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Notice,thereof polyols,Polyunsaturated fatty acids
305,305,Henglein Fresh Puff Pastry,"1,99€","Fresh puff pastry XXL

For general consumption, after preparation, no special food. , Hans Henglein & Sohn GmbH has provided the above information.",https://oda.com//de/products/55850-henglein-henglein-frischer-blatterteig/,https://bilder.kolonial.no/local_products/65243914-7964-49f8-82f7-c75ebbb0ad64.jpg?auto=format&fit=max&w=1000&s=0e0ee32e1dc6104f91f7bb357dcb10b3,0.60 g,4.90 g,in,2 g,33.40 g,13.50 g,23.40 g,1575 kJ / 378 kcal,"Hans Henglein & Sohn GmbH, Beerbachstr. 19, 91183 Abenberg / Wassermungenau, Germany",in,in,"WHEAT FLOUR, drinking water, vegetable fats (palm fat), ethyl alcohol,
Sugar, table salt, acidifier: citric acid.",375 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
306,306,Aunt Fanny fresh pizza dough,"2,75€","Tante Fanny Fresh sheet metal pizza dough 400g, Wewalka provided the above information.",https://oda.com//de/products/47010-tante-fanny-tante-fanny-frischer-pizzateig/,https://bilder.kolonial.no/local_products/7bb443df-9422-4149-b4e0-81d6c45b5c36.jpg?auto=format&fit=max&w=1000&s=28c0d284f1fd33d6e44413db387cfb00,2.30 g,8.20 g,1.50 g,0.70 g,46 g,0.90 g,4.50 g,1100 kJ / 260 kcal,Anxiety,Austria,in,"WHEAT FLOUR, drinking water, 2% extra virgin olive oil, ethyl alcohol, sunflower oil; raising agents: diphosphates: sodium carbonates; WHEAT GLUTEN, table salt; emulsifier: mono- and diglycerides of fatty acids; WHEAT STARCH; Yeast; Antioxidant: ascorbic acid. May contain traces of milk",400 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,4 Roofs,in,in,in,in,in,Milch.,in,in,in,in,in,in,in,in,in,in,in
307,307,Aunt Fanny spelled pizza dough,"2,69€","Tante Fanny Fresh Spelled Pizza Dough 400g , Wewalka has provided the above information.",https://oda.com//de/products/42742-tante-fanny-tante-fanny-dinkel-pizzateig/,https://bilder.kolonial.no/local_products/4f6d6218-e10d-4254-b757-8a63f224030b.jpg?auto=format&fit=max&w=1000&s=a161eab6c074e38bac8dfc2eccf10d47,2.30 g,11 g,2.90 g,1.10 g,44 g,1.40 g,5.80 g,1172 kJ / 280 kcal,Anxiety,Austria,in,"60% SPELLED WHEAT FLOUR, drinking water, SPELLED WHEAT GLUTEN, sunflower oil, SPELLED WHEAT STARCH, 2% extra virgin olive oil, raising agents: diphosphates, sodium carbonates; ethyl alcohol, table salt, emulsifier: mono- and diglycerides of fatty acids; acidifier: citric acid; Yeast, antioxidant: ascorbic acid. May contain traces of milk.",400 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
308,308,Aunt Fanny Fresh Flammkuchen bases 4 pieces,"2,89€","Although it is a cultural asset in France, resourceful chefs rarely think of this proven crispiness from Alsace. Suitable for vegetarians & vegans, fresh Tarte Flambee is the ideal snack for in between meals or the perfect appetizer that will delight everyone. Ready to bake on the baking tray, spread with sour cream, crème fraîche or sour cream, put in the oven and the yeast-free tarte flambée is ready. , Wewalka provided the above information.",https://oda.com//de/products/45827-tante-fanny-tante-fanny-frische-flammkuchenboden-4/,https://bilder.kolonial.no/local_products/60879084-d8ec-4528-9cc9-358166263b35.jpg?auto=format&fit=max&w=714&s=12bf7cbc5dfd1bc2e5f17c3494bc817a,1.60 g,7 g,in,1.50 g,1.50 g,3.20 g,3.20 g,1133 kJ / 271 kcal,Anxiety,Deutschland,in,WHEAT FLOUR; Water; rapeseed oil; Salt.,340 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
309,309,Aunt Fanny spelled tarte flambee dough,"2,39€","Originally from Alsace, the tarte flambée has now also arrived on our menu. The rustic variant with spelled goes well with wine, storm and Federweißer. The spelled tarte flambée is the tasty alternative to the classic tarte flambée made from wheat flour. The thin dough with yeast is suitable for both savory classics and sweet versions. , Wewalka provided the above information.",https://oda.com//de/products/42553-tante-fanny-tante-fanny-dinkel-flammkuchenteig/,https://bilder.kolonial.no/local_products/34739de8-4d17-443f-be55-814ad7c2940b.jpg?auto=format&fit=max&w=1000&s=7f121f88f265244a72c7301da0a26e60,2.10 g,10 g,in,1.10 g,1.10 g,3.80 g,3.80 g,1151 kJ / 275 kcal,Anxiety,Austria,in,"SPELLED WHEAT FLOUR; Drinking water; sunflower oil; ethyl alcohol; Salt; SPELLED WHEAT GLUTEN; SPELLED WHEAT STARCH; raising agents: diphosphates, sodium carbonates, emulsifier: mono- and diglycerides of fatty acids; Yeast; Antioxidant: ascorbic acid. May contain traces of milk.",260 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,6 Roofs,in,in,in,in,in,Milch.,in,in,in,in,in,in,in,in,in,in,in
310,310,Aunt Fanny Fresh Flammkuchen dough,"1,99€","Tante Fanny Fresh Tarte Flambee Dough 260g, Wewalka provided the above information.",https://oda.com//de/products/47510-tante-fanny-tante-fanny-frischer-flammkuchenteig/,https://bilder.kolonial.no/local_products/cc9ae268-e3d8-4277-bd11-4f0e783dc130.jpg?auto=format&fit=max&w=1000&s=a6fb9a7b77f4d763b1663abea767f840,2 g,7.80 g,1.50 g,2.70 g,47 g,0.50 g,3.70 g,1115 kJ / 264 kcal,Anxiety,Austria,in,"WHEAT FLOUR; Drinking water; sunflower oil; ethyl alcohol, table salt; WHEAT GLUTEN; WHEAT STARCH; raising agents: diphosphates; sodium carbonates; emulsifier: mono- and diglycerides of fatty acids; Yeast; Antioxidant: ascorbic acid. May contain traces of milk",260 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
311,311,Aunt Fanny fresh puff pastry,"1,69€","Tante Fanny Fresh Puff Pastry 270g, Wewalka provided the above information.",https://oda.com//de/products/45229-tante-fanny-tante-fanny-frischer-blatterteig/,https://bilder.kolonial.no/local_products/5ed4bdfc-2e1d-4a46-9ed5-e784aed4d717.jpg?auto=format&fit=max&w=1000&s=e89f8d18f6e20cb68c065499fd09920b,0.95 g,5.70 g,1 g,0.40 g,32 g,14 g,29 g,1722 kJ / 414 kcal,Anxiety,Austria,in,"WHEAT FLOUR; palm fat; Drinking water; ethyl alcohol; rapeseed oil; WHEAT STARCH; Salt; acidifier: citric acid; lemon juice concentrate.
May contain traces of milk.",270 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
312,312,Tante Fanny Quiche-&Tarteteig,"1,79€","Vegan nutrition is becoming more and more popular and cooking yourself is not only good, but also in. The fresh, round quiche & tart dough closes the circle here, because it is cut in advance and as a round thing fits into the mold quickly and easily . It is suitable for the vegan diet. So nothing is easier than buying the round quiche & tart dough, put it in the mold and off you go for the brisk, healthy baking fun. , Wewalka provided the above information.",https://oda.com//de/products/53169-tante-fanny-tante-fanny-quiche-tarteteig/,https://bilder.kolonial.no/local_products/1e2dfc19-d64c-4e56-819d-01545c137e72.jpg?auto=format&fit=max&w=1000&s=5e856ca209490393a1b46e87b6185f4d,in,5.70 g,in,2.90 g,2.90 g,25 g,25 g,1773 kJ / 424 kcal,Anxiety,Austria,in,"WHEAT FLOUR; Palm fat, drinking water, rapeseed oil, ethyl alcohol, WHEAT STARCH, table salt, sugar, acidifier: citric acid, antioxidant: ascorbic acid. May contain traces of milk.",1 piece,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,Milch.,in,in,in,in,in,in,in,in,in,in,in
313,313,Knack & Back 6 Croissants,"2,29€","KNACK UND BACK 6 CROISSANTS 250G , General Mills has provided the above information.",https://oda.com//de/products/43829-knack-back-knack-back-6-croissants/,https://bilder.kolonial.no/local_products/c4d6d2a5-659f-4c33-a8fb-d26a33803b91.jpg?auto=format&fit=max&w=1000&s=d43b95771402fa61eee6662234e5bf9c,1.26 g,8.10 g,1.60 g,7.20 g,34.20 g,10.80 g,20.60 g,1529 kJ / 366 kcal,"General Mills, Osterbekstr. 90c, 22083 Hamburg, Germany",in,in,"WHEAT FLOUR, water, palm fat, WHEAT GLUTEN, dextrose, sugar, raising agents (diphosphates, sodium carbonates), alcohol, vegetable oils (soy, sunflower), salt, emulsifiers (mono- and diglycerides of fatty acids, polyglycerol esters of fatty acids), stabilizer (xanthan gum), Magnesium chloride, potassium chloride, flavoring, color (carotene), acidity regulator (lactic acid), flour treatment agent (ascorbic acid). MAY CONTAIN EGG, MILK AND SOY.",250 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,"Eggs, Soybeans, Milk.",in,in,in,in,in,in,in,in,in,in,in
314,314,Knack & Bake garlic wedges,"2,79€","The snack that everyone really likes: the crispy corners with a fine garlic spread can be enjoyed with a steak, salad or on their own. , General Mills has provided the above information.",https://oda.com//de/products/43982-knack-back-knack-back-knoblauchecken/,https://bilder.kolonial.no/local_products/acdb33c8-94cc-48f4-a269-433596de9555.jpg?auto=format&fit=max&w=1000&s=263bd301c977797e94e68e2b4cc84396,1.50 g,8.20 g,in,3.90 g,3.90 g,11.40 g,11.40 g,1245 kJ / 298 kcal,"General Mills, Osterbekstr. 90c, 22083 Hamburg, Germany",in,in,"Dough (88%): WHEAT FLOUR, water, vegetable oils and fats (palm, SOY, sunflower oil), WHEAT GLUTEN, dextrose, sugar, raising agents (glucono-delta-lactone, sodium carbonate), sea salt, alcohol, dried RYE SOURDOUGH, emulsifiers (mono and diglycerides of fatty acids, polyglycerol esters of fatty acids), stabilizer (xanthan), flour treatment agent (ascorbic acid), color (carotene), acidity regulator (lactic acid). Spread (12%): vegetable oils and fats (palm, rapeseed, coconut), garlic (13%), water, table salt, parsley, Italian herbs (basil, marjoram, thyme, sage, oregano), emulsifier (mono- and diglycerides of fatty acids), aroma, coloring (carotene). Batter may contain EGG, MILK and SOY. Garlic Spread May contain WHEAT and MILK.",340 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
315,315,MEGGLE Mediterranean bread,"2,00€","The product is a type of ciabatta bread that is pre-baked in a stone oven - with an intense aroma, a fluffy crumb and a typically strong, crispy crust. The stone oven bread is juicy filled with 20% Mediterranean herb cream, refined with native olive oil. After briefly baking, the ""Meggle Stone Oven Bread with Mediterranean Herbs"" is ready to eat. , MEGGLE GmbH and Ko KG has provided the above information.",https://oda.com//de/products/55843-meggle-meggle-mediterranes-brot/,https://bilder.kolonial.no/local_products/8b6b41e8-a18f-4cad-b137-d5858ada5160.jpg?auto=format&fit=max&w=1000&s=526c398df7ada76af870a3931e796778,1.40 g,6.20 g,in,2.50 g,37 g,1.20 g,14 g,1271 kJ / 304 kcal,"MEGGLE GmbH und Co KG, Mozartstr 31, 87435 Kempten (Allgäu), Germany",in,in,"Baguette: WHEAT FLOUR, water, yeast, salt, RYE FLOUR, WHEAT MALT FLOUR, WHEAT GLUTEN. Mediterranean herbal cream 20%: rapeseed oil, water, garlic, virgin olive oil 10%, herbs (basil, oregano, thyme, rosemary), salt, starch, modified starch, lemon juice concentrate, natural herbal aroma. Sealed under protective athmosphere. The product may contain traces of MILK and SESAME.",250 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,in,in,in,in,in,in,in,in,in,in,in,in,in
316,316,MEGGLE herb butter baguette,"1,11€","It all started with the baguette herb butter. Meggle brought the savory baguette specialty to the refrigerated section as early as 1995. It's now on everyone's lips - in the truest sense of the word. Filled with Original Meggle Herb Butter, the fresh herbs and aromatic garlic ensure an intense, full-bodied taste. The Meggle Baguette Herb Butter is always a delicious choice. , MEGGLE GmbH and Ko KG has provided the above information.",https://oda.com//de/products/44822-meggle-meggle-krauterbutter-baguette/,https://bilder.kolonial.no/local_products/75598172-47c7-4d56-9a88-7c09854c6c89.jpg?auto=format&fit=max&w=1000&s=66c9c80368c74041f2b0f8e9cd7aea3f,1.40 g,7 g,in,2.60 g,38 g,8.20 g,13 g,1266 kJ / 303 kcal,"MEGGLE GmbH und Co KG, Mozartstr 31, 87435 Kempten (Allgäu), Germany",in,in,"WHEAT FLOUR, water, herb butter (butter preparation) 20% (BUTTER, onions, parsley, garlic, salt, herbs, spices, starch, lemon juice concentrate, garlic extract), RYE FLOUR, DURUM WHEAT SEAL, WHEAT MALT FLOUR, WHEAT GLUTEN, salt, yeast, natural flavor. The product may contain traces of SESAME.",160 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,in,in,in,in,in,in,in,in,in,in,in,in,in
317,317,MEGGLE Knoblauchbutter Baguette,"1,11€","The Meggle Baguette with garlic butter is one of the classics in the Meggle Baguette range. Crispy on the outside, fluffy and juicy on the inside, the baguette is a popular accompaniment to a wide variety of dishes. Baked fresh from the oven, it is not only a must when barbecuing, it also makes a harmonious addition to popular summer dishes such as tomatoes and mozzarella or delicious summer salads. , MEGGLE GmbH and Ko KG has provided the above information.",https://oda.com//de/products/46449-meggle-meggle-knoblauchbutter-baguette/,https://bilder.kolonial.no/local_products/7c33053c-0a45-4b89-8577-6b18c6023141.jpg?auto=format&fit=max&w=1000&s=d78f4c14c73bfbafea565dfef0935274,1.40 g,7 g,in,2.30 g,2.30 g,13 g,13 g,1267 kJ / 303 kcal,"MEGGLE GmbH und Co KG, Mozartstr 31, 87435 Kempten (Allgäu), Germany",Deutschland,in,"WHEAT FLOUR, water, garlic butter 20% (butter preparation) (BUTTER 75%, onions, garlic, parsley, spices, salt, starch, lemon juice*, garlic extract), RYE FLOUR, DURUM WHEAT SEAL, WHEAT MALT FLOUR, WHEAT GLUTEN, salt, yeast, natural flavor. *from concentrate Packed in a protective atmosphere.",160 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,in,in,in,in,in,in,in,in,in,in,in,in,in
318,318,MEGGLE Baguette Rustikal,"1,11€","The Meggle rustic baguette seduces lovers of grainy, dark dough with its hearty, strong taste. Crispy on the outside and wonderfully fluffy on the inside, filled with the popular Meggle herb butter - tasty and juicy enjoyment is guaranteed! For grilling, on buffets, with salads or as a snack - the Meggle baguettes are always a delicious choice. , MEGGLE GmbH and Ko KG has provided the above information.",https://oda.com//de/products/44749-meggle-meggle-baguette-rustikal/,https://bilder.kolonial.no/local_products/3a06f6a3-a66f-41f6-9a8d-f9f5d4f31cde.jpg?auto=format&fit=max&w=1000&s=fe06591d2625a4911741ad948abbb87c,1.40 g,7.10 g,in,2.80 g,2.80 g,14 g,14 g,1286 kJ / 307 kcal,"MEGGLE GmbH und Co KG, Mozartstr 31, 87435 Kempten (Allgäu), Germany",Deutschland,in,"WHEAT FLOUR, water, herb butter (butter preparation) 20% (BUTTER, onions, parsley, garlic, salt, herbs, spices, starch, lemon juice concentrate, garlic extract), DURUM WHEAT, WHEAT MEALS, WHEAT BRAN, RYE MALT FLOUR, linseed, RYE FLOUR, BARLEY MALT FLOUR, spices, salt, Yeast, Natural Flavor. Sealed under protective athmosphere. May contain traces of SESAME.",160 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,in,in,in,in,in,in,in,in,in,in,in,in,in
319,319,MEGGLE pretzel baguette with herb butter,"1,32€","The Meggle lye baguette with herb butter brings variety to the table with its typical lye taste. Tenderly crispy on the outside, wonderfully soft and richly filled on the inside, the Meggle pretzel baguette is a special treat. For grilling, on buffets, with salads or as a snack - the Meggle baguettes are always a delicious choice. , MEGGLE GmbH and Ko KG has provided the above information.",https://oda.com//de/products/47099-meggle-meggle-laugenbaguette-krauterbutter/,https://bilder.kolonial.no/local_products/5c41fba9-f973-4442-ab5b-642d9dc619de.jpg?auto=format&fit=max&w=1000&s=357c88f4cae2f7bdb875b1b16ad54e1f,1.80 g,6.30 g,in,2.50 g,2.50 g,15 g,15 g,1287 kJ / 308 kcal,"MEGGLE GmbH und Co KG, Mozartstr 31, 87435 Kempten (Allgäu), Germany",Deutschland,in,"WHEAT FLOUR, water, herb butter (butter preparation) 22% (BUTTER, onions, parsley, garlic, salt, herbs, spices, starch, lemon juice concentrate, garlic extract), BUTTER, yeast, salt, sugar, WHEAT GLUTEN, SKIMMED MILK POWDER, WHEAT MALT FLOUR, RYE FLOUR, natural flavor , acidity regulator: sodium hydroxide. The product may contain traces of SESAME.",160 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,in,in,in,in,in,in,in,in,in,in,in,in,in
320,320,Dermaris pizza buns nature,"2,19€","Wheat biscuits. Without preservative substances. , Dermaris GmbH has provided the above information.",https://oda.com//de/products/45275-dermaris-dermaris-pizza-brotchen-natur/,https://bilder.kolonial.no/local_products/e26e7aa3-261a-4b80-8146-384b3489c007.jpg?auto=format&fit=max&w=783&s=b594780433e9823026abd5e9434c7916,1.53 g,7.50 g,in,3.50 g,3.50 g,4.60 g,4.60 g,1064 kJ / 254 kcal,"Dermaris GmbH, Schanzenweg 3, 59557 Lippstadt, Germany",in,in,"WHEAT FLOUR, drinking water, durum wheat semolina, sugar, baker's yeast, rapeseed oil, extra virgin olive oil), table salt. Sealed under protective athmosphere. May contain traces of MILK and MILK PRODUCTS.",250 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
321,321,Dermaris Pizza Bun Mozzarella Herb Butter,"2,39€","Light yeast dough filled with a hearty filling of stretchable mozzarella and creamy herb butter, chilled - ready to bake. Without preservative substances. , Dermaris GmbH has provided the above information.",https://oda.com//de/products/55856-dermaris-dermaris-pizza-brotchen-mozzarella-kraute/,https://bilder.kolonial.no/local_products/9ced7a7b-da10-4351-b11f-574db754f32e.jpg?auto=format&fit=max&w=781&s=e751927a7a13bd354c4890edd5cb6734,1.63 g,8.60 g,in,3.40 g,38.20 g,3.20 g,7.50 g,1088 kJ / 260 kcal,"Dermaris GmbH, Schanzenweg 3, 59557 Lippstadt, Germany",Deutschland,in,"WHEAT FLOUR, drinking water, 10% MOZZARELLA, 2.6% herb butter (BUTTER, salt, parsley, onions, garlic, dextrose, tarragon, white pepper, chervil), CREAM, WHOLE MILK, DURUM WHEAT, sugar, yeast, rapeseed oil, extra virgin olive oil, table salt, potato starch, garlic powder. Sealed under protective athmosphere.",250 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
322,322,Block House Bread Garlic,"2,59€","The original garlic bread is a BLOCK HOUSE classic. You can enjoy it as a starter, as an accompaniment to meat, fish, vegetables, soups and salads, or simply as a snack. Bake in the oven or on the grill until crisp - the pleasure is ready. , BLOCK HOUSE has provided the above information.",https://oda.com//de/products/47543-block-house-block-house-brot-knoblauch/,https://bilder.kolonial.no/local_products/d8e7f005-f24d-4c8c-96bc-41c3ebd1b717.jpg?auto=format&fit=max&w=1000&s=ea37d2e67735f58e2ad643124b0f6de9,1.70 g,6.90 g,in,3.30 g,3.30 g,16 g,16 g,1414 kJ / 338 kcal,"BLOCK HOUSE, 22339 Hamburg",Deutschland,in,"Bread (WHEAT FLOUR, water, baker's yeast, iodized salt (salt, potassium iodate), rapeseed oil, WHEAT MALT FLOUR) (80%), garlic spread (rapeseed oil, water, garlic (9%), iodized salt (salt, potassium iodate), starch, natural garlic flavor , carrot extract, EGG yolk powder, glucose syrup (dried), emulsifier (polysorbate 60))",250 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
323,323,Every day pizza dough with tomato sauce,"2,29€","Pizza dough, rolled out on baking paper and ready to bake. With tomato sauce. , Hans Henglein & Sohn GmbH has provided the above information.",https://oda.com//de/products/45618-jeden-tag-jeden-tag-pizzateig-m-tomatensosse/,https://bilder.kolonial.no/local_products/2f957b09-1ab8-4d73-9c97-f15bc8790024.jpg?auto=format&fit=max&w=1000&s=471e2ff9f187f3a4dafac56f31c4d9ed,1.90 g,6.60 g,in,2.50 g,2.50 g,5.40 g,5.40 g,1126 kJ / 269 kcal,"Hans Henglein & Sohn GmbH, Beerbachstr. 19, 91183 Abenberg / Wassermungenau, Germany",in,in,"WHEAT FLOUR, drinking water, rapeseed oil, olive oil, WHEAT STARCH, ethyl alcohol, table salt, raising agents: diphosphates, sodium carbonates; Yeast, WHEAT PROTEIN, dextrose, corn flour, acidifier: citric acid; Emulsifier: mono- and diglycerides of fatty acids.",600 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
324,324,Every day garlic butter baguette,"0,99€","Baguette filled with garlic butter. , Central Trading Company. ZHG mbH Food has provided the above information.",https://oda.com//de/products/55204-jeden-tag-jeden-tag-knoblauchbutter-baguette/,https://bilder.kolonial.no/local_products/ab3c50c6-93b2-4078-b053-39aafe22666e.jpg?auto=format&fit=max&w=1000&s=d18ca375e9759f81cd0e872a4d4203cf,1.30 g,6.70 g,in,2.70 g,40 g,7.90 g,13 g,1293 kJ / 309 kcal,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",in,in,"Wheat rolls (WHEAT FLOUR, water, yeast, table salt, RYE FLOUR, WHEAT MALT FLOUR), 20% garlic butter preparation [75% BUTTER, 17% garlic, onion, iodized table salt (table salt, potassium iodate), BUTTERMILK POWDER, parsley, potato starch, table salt, acidifier: citric acid; Herbs and spices]. Sealed under protective athmosphere. May contain traces of SOY, MUSTARD and SESAME SEEDS.",175 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,"Due to delivery bottlenecks, the packaging may vary.",in,in
325,325,Herb butter baguette every day,"0,99€","Wheat rolls, pre-baked, filled with 20% herb butter preparation. , Coolback GmbH has provided the above information.",https://oda.com//de/products/46500-jeden-tag-jeden-tag-krauterbutter-baguette/,https://bilder.kolonial.no/local_products/8595bf35-bfbd-4ce3-a635-074c88856b66.jpg?auto=format&fit=max&w=1000&s=3bc0e943e96bbf8f71a756ad4fb76178,1.30 g,6.60 g,in,2.50 g,2.50 g,13 g,13 g,1275 kJ / 305 kcal,"Coolback GmbH, Strawberry Street 1, 14947 Nuthe-Urstromtal",in,in,"Wheat rolls (WHEAT FLOUR, water, yeast, table salt, RYE FLOUR, WHEAT MALT FLOUR), 20% herb butter preparation [75% BUTTER, water, 4% herbs (parsley, lovage leaves, chives, dill), onion, garlic, iodised table salt (table salt, potassium iodate), BUTTERMILK POWDER, potato starch, acidifier: citric acid; spices, sunflower oil]. Sealed under protective athmosphere. May contain traces of SOY, MUSTARD and SESAME SEEDS.",175 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,"Due to delivery bottlenecks, the packaging may vary.",in,in
326,326,Puff pastry every day,"1,49€","6 sheets of puff pastry, ready to bake, deep-frozen. , Central Trading Company. ZHG mbH Food has provided the above information.",https://oda.com//de/products/48021-jeden-tag-jeden-tag-blatterteig/,https://bilder.kolonial.no/local_products/8759335a-14be-4087-bfcb-a829a04f69c1.jpg?auto=format&fit=max&w=1000&s=cf82d42810d400c2f3819751e3bc542b,0.50 g,5.50 g,in,1 g,34 g,13 g,24 g,1587 kJ / 379 kcal,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",in,in,"WHEAT FLOUR, margarine (palm fat, drinking water, rapeseed oil, iodised table salt (table salt, potassium iodate), emulsifier: mono- and diglycerides of fatty acids, acidifier: citric acid), drinking water. May contain traces of MILK and EGG.",450 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,"6 sheets of puff pastry, ready to bake, deep-frozen.",in,in,in,in,in,in,in,in
327,327,6 Sunday rolls to bake yourself 6 pieces,"1,59€","Chilled dough for ready-to-bake wheat rolls. , Cérélia has provided the above information.",https://oda.com//de/products/45133-cerelia-6-sonntagsbrotchen-zum-selbstbacken-6stk/,https://bilder.kolonial.no/local_products/85413ec8-3373-4127-ac89-fd4ad6276957.jpg?auto=format&fit=max&w=1000&s=c37419faa2f8e59d98b70ec2fad33d95,2.20 g,9.60 g,in,2.50 g,46 g,1.40 g,3.10 g,1116 kJ / 267 kcal,"Cérélia, Rue Francois Jacob, F-62800, Lievin",France,in,"WHEAT FLOUR, drinking water, WHEAT GLUTEN, raising agent: (glocono delta lactone, sodium carbonate, diphosphate), sugar, palm oil, ethyl alcohol, table salt, modified corn starch, flour treatment agent: ascorbic acid. The product may contain traces of MILK.",330 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
328,328,Lawa 5 fine pancakes,"1,49€","Fine pancakes, sweet or savory. , LAWA yeast dumplings provided the above information.",https://oda.com//de/products/45525-lawa-lawa-5-feine-pfannkuchen/,https://bilder.kolonial.no/local_products/6fcd581f-01ec-4c66-aeae-adfcd21e14f4.jpg?auto=format&fit=max&w=1000&s=3855f9914e7fa3fddd6c7b97e94f35f3,1.10 g,6 g,in,4.40 g,4.40 g,5.80 g,5.80 g,808 kJ / 193 kcal,"LAWA yeast dumplings, Factor-Rothe-Strasse 6, 09526 Olbernhau, Germany",Deutschland,in,"Water, WHEAT FLOUR, WHOLE EGG*, rapeseed oil, sugar, WHOLE MILK POWDER, table salt, modified starch, raising agents (disodium diphosphate, sodium bicarbonate).
*Barn eggs",300 Gramm,daily,Fast kitchen,Ready-made dough & baked goods,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
