,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
10,Gutfried vegetarian meat sausage,€2.99,"The Gutfried Vegetarian Meat Sausage tastes good for young and old, because it not only tastes good on bread or as a small snack, but is also perfect as an ingredient in a delicious soup. The vegetarian meat sausage is smoked over beech wood and thus gets the authentic meat sausage taste. , Gutfried GmbH has provided the above information.",https://oda.com//de/products/50534-gutfried-gutfried-vegetarische-fleischwurst/,https://bilder.kolonial.no/local_products/790ab09a-958f-4555-98e0-47c4cbe82daa.jpg?auto=format&fit=max&w=1000&s=a1dac808378410e22d23b2c4592ebb75,2.30g,8g,2.20g,2.20g,14g,,,,,"Gutfried GmbH, Gewerbestrasse 1, 24860 Böklund, Germany",,"Trinkwasser, Rapsöl 14%, HÜHNEREIEIWEIßPULVER 9%, Speisesalz, Verdickungsmittel: Carrageen, Johannisbrotkernmehl, Xanthan, Dextrose, Gewürze, Gewürzextrakte, natürliche Aromastoffe, Zitronensaftpulver, färbendes Lebensmittel: Rettichkonzentrat, rot, Farbstoff: Beta-Carotin, Säuerungsmittel: Citronensäure, Säureregulatoren: Kaliumlactat, Natriumacetate, Buchenholzrauch. Kann Spuren von SELLERIE, SENF, GLUTEN und SOJA enthalten. ",200 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,14g,722kJ / 173kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mixed organic minced meat,€6.99," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54218-gustopur-bio-hackfleisch-gemischt/,https://bilder.kolonial.no/local_products/6e33cfa7-7f64-485a-88c1-efa7519eb85b.jpg?auto=format&fit=max&w=1000&s=ae7c9c51ce77a786f4f73a8d6935c5ee,,,,,,18 g,972 kJ / 234 kcal,,,,,,400 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,0.13 g,18 g,,,6.80 g,,,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,,,,,,2 days,Fresh; versatile,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,Ohne Gentechnik,"EU (Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachte bitte die Angaben auf der angelieferten Packung selbst; nur diese ist maßgeblich wie auch verbindlich)","Level ④ Premium: With the green label of level 4, e.g. B. organic meat, which meets the requirements of the European organic regulation and its guidelines. Management level 4 represents the highest management form of the Animal Welfare Initiative (ITW). It is characterized by GMO-free feed, access to an outdoor area and higher space requirements.",cooling productMust be stored between 0-2°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Organic beef entrecôte,€11.75," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54441-gustopur-bio-rinder-entrecote/,https://bilder.kolonial.no/local_products/69bd47cd-eecf-4b72-8133-fdbe12bd63b0.jpg?auto=format&fit=max&w=1000&s=029fca08bbb795fe8bf7ac3b9cc6e7cc,0.10g,21g,0g,0g,2g,,505kJ / 120kcal,,,,,,approx. 280 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,4g,,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,"EU (Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachte bitte die Angaben auf der angelieferten Packung selbst; nur diese ist maßgeblich wie auch verbindlich)",,,,This product may vary slightly in weight and size. The price will be adjusted to the actual weight on the day of delivery. We ensure that the deviation is kept as small as possible.,3 days,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde Vakuumverpackt.,Ohne Gentechnik,,"Stufe ④ Premium: Mit dem grünen Label der Stufe 4 wird z. B. Biofleisch gekennzeichnet, das die Anforderungen an die europäische Öko-Verordnung und ihre Richtlinien erfüllt. Die Haltungsstufe 4 stellt die höchste Haltungsform der Initiative Tierwohl (ITW) dar. Sie ist geprägt durch gentechnikfreies Futtermittel, einen Zugang zu einem Freigelände sowie höhere Platzvorgaben.",cooling productMust be stored between 0-4°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Organic beef rump steak,€13.15," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54444-gustopur-bio-rinder-rumpsteak/,https://bilder.kolonial.no/local_products/0f67ffa8-182f-4a50-8e9a-9879e9f0b6ce.jpg?auto=format&fit=max&w=1000&s=91ee84a7fc9fe35c271af503ffb00565,0.10g,21g,0g,0g,2g,,505kJ / 120kcal,,,,,,approx. 280 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,4g,,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,"EU (Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachte bitte die Angaben auf der angelieferten Packung selbst; nur diese ist maßgeblich wie auch verbindlich)",,,,This product may vary slightly in weight and size. The price will be adjusted to the actual weight on the day of delivery. We ensure that the deviation is kept as small as possible.,3 days,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde Vakuumverpackt.,Ohne Gentechnik,,"Stufe ④ Premium: Mit dem grünen Label der Stufe 4 wird z. B. Biofleisch gekennzeichnet, das die Anforderungen an die europäische Öko-Verordnung und ihre Richtlinien erfüllt. Die Haltungsstufe 4 stellt die höchste Haltungsform der Initiative Tierwohl (ITW) dar. Sie ist geprägt durch gentechnikfreies Futtermittel, einen Zugang zu einem Freigelände sowie höhere Platzvorgaben.",cooling productMust be stored between 0-4°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Rügenwalder Mühlen Frikadellen 100% Geflügel,"2,79€","Die Mühlen Frikadellen 100 % Geflügel der Rügenwalder Mühle sind:
- aus 100 %Geflügelfleisch,
- Fatfrei gebraten und
- locker in der Konsistenz.

Wie alle Produkte von der Rügenwalder Mühle werden die Mühlen Frikadellen ohne Zusatz von Geschmacksverstärkern und laktosefrei hergestellt und regelmäßig vom SGS Institut Fresenius kontrolliert. Im innovativen wieder verschließbaren Snackbecher sind Mühlen Frikadellen der ideale Snack für zwischendurch und unterwegs.

- 100% Geflügel 

- hoher Proteingehalt

- Geflügel zu 100% aus Deutschland

- Mühlen Frikadellen schmecken kalt oder warm, als kleine Mahlzeit oder als Snack für zwischendurch. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43867-rugenwalder-muhlen-frikadellen-100-geflugel/,https://bilder.kolonial.no/local_products/5efd12ec-3801-42d4-94e5-07a64b9ec12e.jpg?auto=format&fit=max&w=781&s=599866a8b50aa8cfdcde940fd2e53298,,,,,,13 g,816 kJ / 196 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,2 g,14 g,2.10 g,5.70 g,4 g,,,Deutschland,"81% Geflügelfleisch (Hähnchen-, Putenfleisch), GeflügelFat mit Haut,
Zwiebeln, fraktioniertes Erbsenmehl, Paniermehl (glutenfreie WEIZENSTÄRKE, Trinkwasser, Zucker, Rapsöl, Kochsalz, Hefe, Flohsamenschalen, Verdickungsmittel: Xanthan, Oligofruktose, Karamell, Maltodextrin), VOLLEI, Kochsalz, Gewürze, Zucker,
Traubenzucker. ",165 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,3.60 g,2.60 g,6.40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Organic ground beef,€7.65," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54219-gustopur-bio-rinder-hackfleisch/,https://bilder.kolonial.no/local_products/70efaf37-ac62-4e99-a471-84a9589611d3.jpg?auto=format&fit=max&w=1000&s=a6d876cfc92c74da6439e101e3f3da48,,,,,,19 g,1030 kJ / 248 kcal,,,,,100% beef,400 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,0.20 g,19 g,0.50 g,0.50 g,8.80 g,,,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,,,,,,2 days,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,Ohne Gentechnik,"EU (Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachte bitte die Angaben auf der angelieferten Packung selbst; nur diese ist maßgeblich wie auch verbindlich)","Level ④ Premium: With the green label of level 4, e.g. B. organic meat, which meets the requirements of the European organic regulation and its guidelines. Management level 4 represents the highest management form of the Animal Welfare Initiative (ITW). It is characterized by GMO-free feed, access to an outdoor area and higher space requirements.",cooling productMust be stored between 0-2°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Beef entrecote steak,€9.15," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54440-gustopur-rinder-entrecotesteak-1-stuck/,https://bilder.kolonial.no/local_products/1daf0fa3-d3f0-4558-bde0-7d6e7ba5d284.jpg?auto=format&fit=max&w=1000&s=5f6f6f4d3ec28149f5b0b9ba8412d4be,0.13g,21g,0g,0g,4g,,,,,,,100% beef,approx. 330 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,9g,690kJ / 165kcal,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",Germany,,,,,,,This product may vary slightly in weight and size. The price will be adjusted to the actual weight on the day of delivery. We ensure that the deviation is kept as small as possible.,3 days,Fresh; for roasting or for the grill,,,,,Germany,Tier ① Animal husbandry: Meat from animals marked with the Tier 1 red label comes from animal husbandry that meets the legal standard.,cooling productMust be stored between 0-4°C.,,,,,"Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day.",The item was vacuum packed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ground beef,€4.89," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54214-gustopur-rinder-hackfleisch/,https://bilder.kolonial.no/local_products/da077147-f5f9-4d32-bb46-ead9b3540f77.jpg?auto=format&fit=max&w=1000&s=fa6e0ed75ebff1ab33bfdd7dcd9012ca,0.10g,18g,0.50g,0.50g,8.50g,,,,,,,100% beef,500 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,19g,1009kJ / 243kcal,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,,,,,,2 days,Fresh from beef; versatile,,,,,Germany,"Tier ① Animal husbandry: Meat from animals marked with the Tier 1 red label comes from animal husbandry that meets the legal standard. Approval in the QS scheme is required for pigs, chickens and turkeys. This will be the case for young bulls and cows for slaughter from 2020.",cooling productMust be stored between 0-2°C.,,,,,"Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day.",The item was self-service packed in a protective atmosphere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Block House Mini Bread Herb Butter Art,€1.35,"Wonderfully buttery on the inside and wonderfully crispy on the outside - Block House Mini Herb Butter Bread is a culinary classic that no barbecue should be without. Try this bread specialty with herb butter with meat, vegetables, salads or fish. Small and flavorful, the crispy mini bread is also the ideal lunchtime snack. , BLOCK HOUSE has provided the above information.",https://oda.com//de/products/55213-block-house-block-house-mini-brot-krauterbutter-ar/,https://bilder.kolonial.no/local_products/d769517c-8f35-4936-80b4-6c0b7f309ab2.jpg?auto=format&fit=max&w=1000&s=2899d35a057f01c3c4e69dd2b89b7803,1.70g,6.80g,,,,17 g,1422 kJ / 340 kcal,,,"BLOCK HOUSE, 22339 Hamburg",Eier.,"Brot (WEIZENMEHL, Wasser, Backhefe, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Rapsöl, WEIZENMALZMEHL) (78%), Brotaufstrich Kräuterbutter Art (BUTTER (79%), Rapsöl (9%), Wasser, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Kräuter (1%), Knoblauch (1%), Gewürze, Zitronensaft) ",125 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,2.90 g,38 g,10 g,,,Deutschland,,,,,,,,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Rümke chicken fillet classic nature,€3.19,"Chicken breast fillet, fried and cooked. , Rümke Specialties GmbH has provided the above information.",https://oda.com//de/products/42316-rumke-rumke-hahnchenfilet-classic-natur/,https://bilder.kolonial.no/local_products/cbb92b77-1aeb-493f-8a53-818193d82a58.jpg?auto=format&fit=max&w=667&s=e9cf177be104212d06cae39568a5df04,2g,20g,0.50g,0.50g,2g,,,,,,,"Chicken breast meat,  table salt,  sugar,  dextrose,  spice extracts,  antioxidant:  sodium ascorbate,  stabilizer:  sodium triphosphate,  preservative:  sodium nitrite,  rapeseed oil.  Packed in  a protective atmosphere  .  May contain  traces  of  CELERY  . ",150 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,2g,431kJ / 103kcal,,,,,,,"Rümke Specialties GmbH, Am Hasenkamp 10-12, D-49201 Dissen aTW, Germany",,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Mixed ground beef,€3.99," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54212-gustopur-hackfleisch-gemischt/,https://bilder.kolonial.no/local_products/3a2f18fe-2db4-4f9a-b1c2-8c4031f217e8.jpg?auto=format&fit=max&w=1000&s=2bc5114d34be34c922c7fd2c62e747f7,0.13g,18g,0.50g,0.50g,6.30g,,,,,,,"50% pork, 50% beef",500 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,18g,972kJ / 234kcal,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",Germany,,,,,,,,2 days,Fresh; versatile.,,,,,Germany,Level ① Animal husbandry*: Meat from animals marked with the red Level 1 label comes from animal husbandry that meets the legal standard.,cooling productMust be stored between 0-2°C.,,,,,"Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day.",The item was self-service packed in a protective atmosphere.,"This article contains meat from different husbandry systems, the lower one is marked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bio Teres Major,€11.75,"butcher cut. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59592-biomanufaktur-havelland-bio-teres-major-1-stuck/,https://bilder.kolonial.no/local_products/dc8dbe03-b199-4402-a162-cf53299b1c29.jpg?auto=format&fit=max&w=943&s=e9ac3e3e9702edd199ceacd8560727a0,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf.",,approx. 300 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Rind Teres Major ,,,,,,,,,,,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",3 days,"ORGANIC AS IT SHOULD BE For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kampsen falafel balls,€1.49,"Kampsen falafel balls made from chickpeas, rice and soybeans, fried. , Kampsen GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42806-kampsen-kampsen-falafel-ballchen/,https://bilder.kolonial.no/local_products/bea5c3bd-30be-48cb-bb1c-4731abe3c519.jpg?auto=format&fit=max&w=750&s=df024030b3685d2a377ea235e54163a9,1.08g,8g,3.80g,3.80g,17.20g,,,,,,,"Chickpeas  43%,  rice,  rapeseed oil,  breadcrumbs  ( WHEAT FLOUR , water, yeast, salt), Edamame SOYBEANS , onions, spices, pea fibers, WHEAT GLUTEN , potato starch, table salt, water, dextrose. Packed in a protective atmosphere .                 ",200 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,17.20g,291kJ / 70kcal,,,,,,,"Kampsen GmbH & Co. KG, Alter Emsteker Weg 19, 49661 Cloppenburg, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Organic tofu chopped,€2.39,"Organic, vegan, naturally lactose-free , Berief Food GmbH has provided the above information.",https://oda.com//de/products/43481-berief-bio-tofu-gehacktes/,https://bilder.kolonial.no/local_products/29c8d763-69e0-4310-89d8-327dd1208288.jpg?auto=format&fit=max&w=922&s=c599cdcdedbfbab02264865967dd3d34,0.93g,21g,0.80g,0.80g,18g,,,,,,,"Fried  tofu  94%  (SOYBEANS*,  drinking water,  sunflower oil*),  BARLEY malt extract*,  sea salt,  smoked  tofu  1%  (SOYBEANS*,  drinking water,  beech wood smoke),  pepper*. *from  controlled  organic  cultivation ",180 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,18g,1111kJ / 266kcal,,,,,,,"Berief Food GmbH, Lebensweg 1, 59269 Beckum, Germany",,,,,,,,,,,,,,,Germany,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Say chicken nuggets,€2.19,"chicken nuggets , Paul Daut GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44141-sprehe-sprehe-chicken-nuggets/,https://bilder.kolonial.no/local_products/a5b430d3-bf01-4240-b3fc-ab0e2981c55a.jpg?auto=format&fit=max&w=699&s=0a5f770077cc2b604f6b6678fc73ade1,1.50g,12g,0.70g,15g,3.50g,,,,,"Paul Daut GmbH & Co. KG, Schmeerplatzweg 11, 33378 Rheda-Wiedenbrück, Germany",,"Hähnchenfleisch 56%, Hähnchenhaut, Panade (Paniermehl (WEIZENMEHL, Wasser, Sals, Gewürze, Hefe)), Nasspanade (Trinkwasser, mod. 
WEIZENSTÄRKE, WEIZENMEHL, Speisesalz, Verdickungsmittel: Guarkernmehl), pflanzliche Öle und Fate (Raps, Palm in veränderlichen Gewichtsanteilen), Speisesalz, Glukosesirup, Maltodextrin, Dextrose, Kartoffelstärke, Gewürze, Stabilisator: E450 ",200 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,17g,1088kJ / 261kcal,Deutschland,,,,,,,,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Valess Gouda,€3.19,"Valess Gouda is the perfect milk poem for all cheese lovers. The tenderly melting, spicy Gouda (30% fat in dry matter) and the crispy breading make Valess Gouda an unforgettable taste experience for the whole family. , Friesland Campina Germany GmbH has provided the above information.",https://oda.com//de/products/43535-valess-valess-gouda/,https://bilder.kolonial.no/local_products/50875ecb-e1ef-4de3-bc5e-89a3eaa42962.jpg?auto=format&fit=max&w=773&s=8a49ad009e5c34e513fae259bbfc0684,,,,,,10.70 g,920 kJ / 220 kcal,,,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Deutschland",,"50% MAGERMILCH, 15% Gouda mittelalt 30% Fat i. Tr. (MILCH, Kochsalz, Säuerungskultur, vegetarisches Lab, Farbstoff: Carotin), Paniermehl (WEIZEN), Sonnenblumenöl, WEIZENMEHL, texturiertes WEIZENEIWEIß, Verdickungsmittel (Calciumalginat, Methylcellulose), modifizierte WEIZENSTÄRKE, Stabilisatoren (Polyphosphat), Kaliumlactat), HÜHNEREI-EIWEIß*, HAFERSPELZFASER, Weinessig, Aroma (MILCH), Gewürze, Kochsalz, Eisendiphosphat. *EIER aus Freilandhaltung. Unter Schutzatmosphäre verpackt. ",90 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,1.20 g,14.30 g,1.10 g,1.10 g,10.70 g,,,Niederlande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Rügenwalder Mühlen Frikadellen klassisch,"2,79€","Die Mühlen Frikadellen klassisch der Rügenwalder Mühle sind aus hochwertigem, magerem Fleisch hergestellt, Fatfrei gebraten und locker in der Konsistenz. 
Wie alle Produkte von der Rügenwalder Mühle werden die Mühlen Frikadellen ohne Zusatz von Geschmacksverstärkern, gluten- und lactosefrei hergestellt und regelmäßig vom SGS Institut Fresenius kontrolliert. 

Im innovativen wieder verschließbaren Snackbecher sind Mühlen Frikadellen der ideale Snack für zwischendurch und unterwegs. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44855-rugenwalder-muhlen-frikadellen-klassisch/,https://bilder.kolonial.no/local_products/05414eb9-628f-4f9d-8566-67e61ec98c3a.jpg?auto=format&fit=max&w=781&s=b0af685dbeba92cf7e3daf7f480c6764,,,,,,21 g,1124 kJ / 271 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,1.90 g,16 g,1.60 g,4.40 g,8.20 g,,,Deutschland,"86% Schweinefleisch, Zwiebeln, VOLLEI, Erbsenmehl, Paniermehl (glutenfreie WEIZENSTÄRKE, Wasser, Zucker, Rapsöl, Kochsalz, Hefe,
Flohsamenschalen, Verdickungsmittel: Xanthan, Oligofruktose, Karamell, Maltodextrin), Kochsalz, Gewürze, Zucker, Traubenzucker. ",165 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,2.80 g,2.80 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Rügenwalder Vegan Mühlen Schnitzel classic,€3.19,"Vegan Mühlen Schnitzel 180g SB , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43875-rugenwalder-muhle-rugenwalder-vegane-muhlen-schnit/,https://bilder.kolonial.no/local_products/677d8359-4001-40a6-ae1c-ad9661b9c81f.jpg?auto=format&fit=max&w=1000&s=b958d7641712851a4646249271578d9c,1.90g,14g,0.60g,11g,0.90g,10 g,846 kJ / 203 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,,"Trinkwasser, WEIZENMEHL, 11% SOJAPROTEIN, Rapsöl, WEIZENGLUTEN, HAFERFASERN, Kochsalz, Verdickungsmittel: Methylcellulose, Maismehl, natürliches Aroma, WEIZENSTÄRKE, Branntweinessig, Gewürze, Zucker, Flohsamenschalen, Hefe. ",180 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40g,10g,7.70g,3.10g,7g,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Organic beef goulash,€5.99," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54220-gustopur-bio-rinder-gulasch/,https://bilder.kolonial.no/local_products/557cab7f-d62b-462e-b201-a7c43357e3e9.jpg?auto=format&fit=max&w=1000&s=0c5abbd594b74d6f15b852dbe51a72f8,,,,,,2 g,437 kJ / 103 kcal,,,,,100% beef,400 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,0.20 g,21 g,0.20 g,0.30 g,0.90 g,,,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,,,,,,3 days,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,Ohne Gentechnik,"EU (Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachte bitte die Angaben auf der angelieferten Packung selbst; nur diese ist maßgeblich wie auch verbindlich)","Level ④ Premium: With the green label of level 4, e.g. B. organic meat, which meets the requirements of the European organic regulation and its guidelines. Management level 4 represents the highest management form of the Animal Welfare Initiative (ITW). It is characterized by GMO-free feed, access to an outdoor area and higher space requirements.",cooling productMust be stored between 0-4°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Beef fillet steak,€11.90," , Westfalenland Fleischwaren GmbH has provided the above information.",https://oda.com//de/products/54529-gustopur-rinder-filetsteak/,https://bilder.kolonial.no/local_products/f23b912a-e878-40c8-8c99-cd7481220cfd.jpg?auto=format&fit=max&w=1000&s=ce3c99ae0182c61170b1298aab5a894d,0.15g,21g,0g,0g,1.20g,,,,,,,100% beef,approx. 240 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,3g,468kJ / 111kcal,,,,,,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Munster, Germany",,,,,,,,This product may vary slightly in weight and size. The price will be adjusted to the actual weight on the day of delivery. We ensure that the deviation is kept as small as possible.,3 days,,,,,,Germany,Tier ① Animal husbandry: Meat from animals marked with the Tier 1 red label comes from animal husbandry that meets the legal standard.,cooling productMust be stored between 0-4°C.,,,,,"Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day.",The item was vacuum packed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
