,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
1329,Maggi Bon appetit ABC alphabet soup,€0.99,"The clear noodle soup with funny letter noodles is not only delicious, but also fun to eat and is vegetarian. Children can let their imagination run wild and discover their first words. The mildly spiced children's soup makes for a quick and tasty meal that the whole family will enjoy. , Maggi GmbH has provided the above information.",https://oda.com//de/products/44757-maggi-maggi-guten-appetit-abc-buchstabensuppe/,https://bilder.kolonial.no/local_products/acd35e68-592f-42e3-80b2-9f94cca46bde.jpg?auto=format&fit=max&w=842&s=df90b0c80dfd6330086ff76410c03b5b,0.64g,1g,1.20g,1.20g,0.20g,,,,,,,"35,7 % Nudeln* (HARTWEIZENGRIESS, WEIZENMEHL), 26 % Tomaten*, Reismehl*, Kartoffelstärke*, Meersalz*, Apfelpulver*, natürliche Aromen*, Lauch*, Knoblauch*, Zimt*, Liebstöckel*, Palmfett*. Kann SELLERIE, EIER, MILCH, SENF und SOJA enthalten. ",70 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,0.20 g,132 kJ / 32 kcal,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,"The clear noodle soup with funny letter noodles is not only delicious, but also fun to eat and is vegetarian. Children can let their imagination run wild and discover their first words. The mildly spiced children's soup makes for a quick and tasty meal that the whole family will enjoy.",,,,,,,,,,,,,"Maggi GmbH,Julius-Bührer-Straße 8,78224 Singen (Hohentwiel)",,,,,,,,,,,,
1330,Maggi Bon appetit chicken soup,€0.99,"An evergreen of German cuisine: chicken soup with noodles. Whether in winter or summer, a classic chicken soup always tastes good. And with Maggi Guten Appetit chicken soup, the hearty broth with lots of noodles and fine vegetables is ready to serve in no time at all. Easily prepared noodle soup with chicken. Whether as a starter or for dinner, on cold, rainy days or in bright sunshine, Maggi Bon Appetit Chicken Soup is always a success and always tastes good! The classic of German cuisine inspires large and small soup fans. , Maggi GmbH has provided the above information.",https://oda.com//de/products/44917-maggi-maggi-guten-appetit-huhner-suppe/,https://bilder.kolonial.no/local_products/043a1a9b-2bd4-4b74-8b50-d742a190534c.jpg?auto=format&fit=max&w=842&s=5fb0b17d5dbc979ecb60257fe0ef3a76,1g,0.80g,0.40g,3.40g,0.10g,0.20g,80kJ / 19kcal,,,,,"66,7 % Nudeln* (HARTWEIZENGRIESS), Jodsalz (Salz, Kaliumjodat), Aromen (mit WEIZEN, GERSTE, EI), Zucker*, Hefeextrakt, Hühnerfleisch*, 1,2% Lauch*, 1% Karotten*, SELLERIE*, Gewürze* (Knoblauch, Kurkuma, Koriander, Pfeffer), SELLERIEBLÄTTER*, Hühnerfett*, Kartoffelstärke*, Antioxidationsmittel Extrakt aus Rosmarin*. Kann MILCH, SENF und SOJA enthalten. ",60 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,Ostmann Fine Vanilla,€5.99,"Fine vanilla , DF World of Spices GmbH has provided the above information.",https://oda.com//de/products/50089-ostmann-ostmann-feine-vanille/,https://bilder.kolonial.no/local_products/92421ec9-6847-471c-b194-52eb60f09ca5.png?auto=format&fit=max&w=705&s=befcea793b6b60c45d1cefcc2322a7cb,0g,3.90g,55.40g,56g,0.90g,3.20g,1332kJ / 317kcal,,,"DF World of Spices GmbH, Dieter-Fuchs-Strasse 10, 49201 Dissen aTW, Germany",,Vanilla.,1 piece,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,24.40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,
1332,Maggi Bon appetit spring soup,€0.99,"Fancy a delicious, meat-free spring soup? With Maggi Guten Appetit Spring Soup, the hearty clear spring soup with carrots, peas, leeks, celery and vermicelli is prepared in no time at all. The soup with vegetables and noodles is perfect for spring and Easter, but also a delicious meal in the cold months. , Maggi GmbH has provided the above information.",https://oda.com//de/products/44457-maggi-maggi-guten-appetit-fruhling-suppe/,https://bilder.kolonial.no/local_products/eff99809-d688-4ca0-b544-353e9cbdd2a5.jpg?auto=format&fit=max&w=842&s=c6216c7de71ca66a867cba3e15a11897,0.82g,0.70g,0.60g,0.60g,0.10g,0.10g,84kJ / 20kcal,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,"60,1 % Nudeln* (WEIZENMEHL, HÜHNEREI-EIWEISS), Jodsalz (Salz, Kaliumjodat), Zucker*, 4,1 % Lauch*, Kartoffelstärke*, 2,5 % SELLERIE*, 2,4 % Karotten*, 2,4 % Erbsen*, Hefeextrakt, Gewürze* (Zwiebeln, Knoblauch, Kurkuma, Muskatnuss), Petersilie*, Tomaten*, Palmfett*, Aromen (mit GERSTE, SELLERIEÖl), Säuerungsmittel Citronensäure*. Kann MILK , MUSTARD and SOYA included.     ",63 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,Ruf Gourmet Vanilla Bean,€3.29,"Gourmet vanilla bean , RUF Lebensmittelwerk KG has provided the above information.",https://oda.com//de/products/47005-ruf-ruf-gourmet-vanilleschote/,https://bilder.kolonial.no/local_products/4c356e57-019f-44db-9515-39aced0623c2.jpg?auto=format&fit=max&w=189&s=0aa70735bce93423c89821af19d82b0b,0.04g,5.50g,10g,25g,1.10g,9.40g,1150kJ / 277kcal,,,"RUF Lebensmittelwerk KG, D-49610 Quakenbrück, Germany",,Gourmet vanilla bean. No traces included.,2.50 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,FIONA Bourbon vanilla beans,€4.99,"2 vanilla pods to refine pastries and desserts. , Hofmann Raimund GmbH has provided the above information.",https://oda.com//de/products/45287-fiona-fiona-bourbon-vanilleschoten/,https://bilder.kolonial.no/local_products/0e6ea399-1841-4854-854f-ed46cf0ac070.jpg?auto=format&fit=max&w=742&s=59fc40451d8081cedd89b3939d6a0647,,,,,,,,,,"Hofmann Raimund GmbH, Kreuzstrasse 11, 97892 Kreuzwertheim, Germany",,Bourbon vanilla beans.,2 pieces,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,Maggi Fix sliced ​​Zurich style,€0.99,"Fancy something to eat? Why don't you try Maggi's idea for Zurich-style sliced ​​meat? Hearty pork becomes a great taste experience with delicious mushrooms in a creamy sauce. , Maggi GmbH has provided the above information.",https://oda.com//de/products/45704-maggi-maggi-fix-geschnetzeltes-zuricher-art/,https://bilder.kolonial.no/local_products/e1bd2902-d413-4c63-be52-cb23017e0527.jpg?auto=format&fit=max&w=842&s=87b911b91c4ad235c26b422970985a8a,0.92g,10.40g,0.70g,3.90g,0.60g,3.90g,393kJ / 94kcal,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,"Kartoffelstärke*, Sonnenblumenöl*, WEIZENMEHL*, Jodsalz (Salz, Kaliumjodat), MILCHZUCKER*, Würze* (aus WEIZEN), Champignonextrakt*, Gewürze (2,3% Zwiebeln*, Knoblauch*, Curry, Pfeffer*), Salz*, natürliche Aromen* (mit MILCH), Zitronensaft*, natürliches Zitronenaroma*, natürliches Zwiebelaroma mit anderen natürlichen Aromen*, MILCHEIWEIßERZEUGNIS*, Weißweinextrakt*, Zucker*. *Natürliche Zutaten. May  contain CELERY , EGGS , MUSTARD and SOY .      ",37 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,Maggi Fix Onion Cream Chicken,€1.09,"Fresh chicken breast, whipped cream and of course Maggi Fix for onion cream chicken. You don't need more for a delicious oven dish with a hearty creamy sauce with onions. , Maggi GmbH has provided the above information.",https://oda.com//de/products/45652-maggi-maggi-fix-zwiebel-sahne-hahnchen/,https://bilder.kolonial.no/local_products/a184da46-1adf-4ee0-931d-892aa8ed02e6.jpg?auto=format&fit=max&w=842&s=f5a883686c60911cfb712b00d0958729,13.70g,7.90g,16.10g,,,,,,,,,"50,7% Zwiebeln, Stärke, Jodsalz, Aromen (mit WEIZEN, GERSTE), Gewürze (Knoblauch, Pfeffer, Koriander, Kurkuma), Sonnenblumenöl, Würze (aus WEIZEN), Kräuter (Petersilie, Thymian, Lorbeer), Salz. Kann SELLERIE, EIER, MILCH, SENF und SOJA enthalten. ",26 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,16.10g,4.20 g,4.20 g,1347 kJ / 322 kcal,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,Fox tonka beans,€4.39,"tonka beans , Fuchs Gewürze GmbH has provided the above information.",https://oda.com//de/products/50092-fuchs-fuchs-tonkabohnen/,https://bilder.kolonial.no/local_products/562c46a5-c40d-467c-875f-59da8412df14.jpg?auto=format&fit=max&w=546&s=f73084396e8ed78b7bd8ef1d485b7c9e,,,,,,,,,,Fuchs spices GmbH,,tonka beans.,5 pieces,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,Maggi Fix spaghetti tomato mozzarella,€1.09,"Fancy a delicious pasta dish that is quick and easy to prepare? How about spaghetti in a creamy tomato-mozzarella sauce refined with aromatic herbs such as oregano and basil? The Italian classic will succeed in no time with Maggi Fix Spaghetti Tomato-Mozzarella! Spaghetti recipes for quick success. After a long day at work, food should be quick in the kitchen, but still tasty. Spaghetti, a creamy sauce and aromatic herbs are ideal ingredients for delicious pasta dishes. Your favorite pasta dishes are quick and easy to make with Maggi Fix Spaghetti Tomato-Mozzarella and simply taste great. , Maggi GmbH has provided the above information.",https://oda.com//de/products/46428-maggi-maggi-fix-spaghetti-tomate-mozarella/,https://bilder.kolonial.no/local_products/084c0732-c25f-4d17-a081-295be2ee959f.jpg?auto=format&fit=max&w=842&s=d71f6f351a84b7b0c80438856312487c,11.10g,10.90g,22.20g,22.20g,13.50g,13.50g,1549kJ / 370kcal,,,,,"36,1% Tomaten, WEIZENMEHL, Jodsalz, Sonnenblumenöl, Kartoffelstärke, Zucker, SCHMELZKÄSE, 3,3% MOZZARELLA, Aromen (mit MILCH, WEIZEN), Kräuter (Petersilie, Oregano, Basilikum), Knoblauch, MOLKENERZEUGNIS, MILCHEIWEIß, Würze (aus WEIZEN), Glukosesirup, Salz. Kann SELLERIE, EIER, SENF und SOJA enthalten. ",40 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,Maggi Fix Spaghetti Napoli,"0,89€","Beliebt bei Kindern zum Mittagessen nach der Schule und ideal zum gemeinsamen Abendessen mit der ganzen Familie: leckere und einfache Spaghetti Rezepte von Maggi. Nudelgerichte wie Maggi fix & frisch Spaghetti Napoli bringen mit einer fruchtigen Tomatensauce sowie würzigem Basilikum und Oregano ein Stück Italien auf den Teller. Einfach lecker! , Maggi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45823-maggi-maggi-fix-spaghetti-napoli/,https://bilder.kolonial.no/local_products/cabd84ae-a7de-4836-837a-fd18e0e59d8a.jpg?auto=format&fit=max&w=842&s=11afec2cbd9f317fc2090c49585c2226,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,6.60 g,6 g,,31.80 g,31.80 g,2.30 g,2.30 g,1436 kJ / 343 kcal,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",,"37,2% Tomaten, Stärke, Zucker, Jodsalz, Gewürze (Zwiebeln, Knoblauch, Pfeffer), Kräuter (Petersilie, Oregano, Basilikum, Majoran, Thymian), Sonnenblumenöl, Würze (aus WEIZEN), Aromen (mit WEIZEN), Salz, Säuerungsmittel Citronensäure. Kann SELLERIE, EIER, MILCH, SENF und SOJA enthalten. ",42 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,Maggi Fix pasta and ham gratin,€1.09,"Would you like a delicious pasta and ham casserole with juicy ham and cheese topped with a golden brown? The popular pasta dish is easy to make with Maggi fix & fresh pasta and ham gratin. Refined with chives, the hearty, creamy gratin offers a full-bodied taste experience - simply delicious! , Maggi GmbH has provided the above information.",https://oda.com//de/products/46599-maggi-maggi-fix-nudel-schinken-gratin/,https://bilder.kolonial.no/local_products/c25af345-c1d7-4074-a856-f7b05f2c008a.jpg?auto=format&fit=max&w=842&s=6a81c372bea6ab65c9c15679ce0c395c,8.30g,10.50g,8.70g,8.70g,9.60g,9.60g,1586kJ / 379kcal,,,,,"Kartoffelstärke, Reismehl, MOLKENERZEUGNIS, WEIZENMEHL, Sonnenblumenöl, Gewürze (5% Zwiebeln, Knoblauch, 0,7% Zwiebelpulver, Pfeffer), Jodsalz, Würze (aus WEIZEN), Kräuter (Schnittlauch, Lorbeer), MILCHEIWEIß, Salz, Glukosesirup, Aromen (mit WEIZEN). Kann SELLERIE, EIER, SENF und SOJA enthalten. ",33 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,Maggi Fix oven tortellini alla panna,€0.89,"Fancy a pasta casserole with tortellini, ham and a creamy sauce? Then try Maggi Fix for oven tortelloni alla panna, which can be prepared quickly and easily in the oven. For the creamy pasta casserole you only need a few delicious ingredients and a bag of fix for oven tortelloni alla panna. With the creamy tortellini sauce, the oven tortellini taste irresistibly delicious. The tortellini dish is quick and easy to prepare. And thanks to the clear recipe instructions, the sauce for tortellini is easy to make. , Maggi GmbH has provided the above information.",https://oda.com//de/products/45082-maggi-maggi-fix-ofen-tortellini-alla-panna/,https://bilder.kolonial.no/local_products/08c86f90-4863-4871-9ac6-34b0bd899647.jpg?auto=format&fit=max&w=842&s=8919bc10279f9f9986a5955967094cb3,10.10g,8.30g,2.80g,2.80g,22.80g,,,,,,,"Maisstärke, WEIZENMEHL, Sonnenblumenöl, Jodsalz, Gewürze (2,4% Zwiebeln, Knoblauch, Pfeffer, Muskatnuss), Hefeextrakt, Aromen, Glukosesirup, Emulgator Lecithine, Kräuter (Petersilie, Schnittlauch), KÄSEPULVER, MILCHEIWEISS, Verdickungsmittel Guarkernmehl. Kann SELLERIE, EIER, SENF und SOJA enthalten. ",36 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,22.80 g,1836 kJ / 439 kcal,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Maggi Fix Spaghetti Bolognese 100% natural,€1.09,"Maggi Fix for Spaghetti Bolognese: the Italian classic with sun-ripened tomatoes. If you can't get enough of the full-bodied taste of delicious spaghetti Bolognese, you can look forward to it. The Italian classic among pasta dishes is quick and easy to prepare with Maggi Fix for Spaghetti Bolognese. , Maggi GmbH has provided the above information.",https://oda.com//de/products/46806-maggi-maggi-fix-spaghetti-bolognese-100-naturliche/,https://bilder.kolonial.no/local_products/9c33fbbc-dcb6-4434-9533-854adaf551e8.jpg?auto=format&fit=max&w=842&s=bd93d7d2ce0b67049fada9b5e26c024b,,,,,,,,,,,,"66,4% Tomaten, Meersalz, Gewürze (Zwiebeln, Knoblauch, Pfeffer, Paprika), Zucker, 2,5% Kräuter (Oregano, Petersilie, Rosmarin, Thymian, Lorbeer), Karotten, Sonnenblumenöl. Kann GLUTENHALTIGES GETREIDE, SELLERIE, EIER, MILCH, SENF und SOJA enthalten. ",36 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,0.67 g,6.90 g,,2.20 g,19.60 g,1.60 g,5 g,646 kJ / 154 kcal,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,Maggi Gourmet Sauce Hollandaise,€0.99,"Today you have vegetables, fish or pan-fried food? A light sauce like Hollandaise sauce goes particularly well with this. And with the Maggi Hollandaise sauce for connoisseurs, the classic sauce can be prepared in just a few minutes. The ideal sauce for asparagus, broccoli, fish and meat The hollandaise sauce is not only an ideal sauce for asparagus, but also goes perfectly with carrots, broccoli and cauliflower and with meat and fish dishes. To prepare, simply stir the contents of the bag into 125 ml of cold water using a whisk. Bring to the boil while stirring, switch off the hob. Fold in 125 g butter. Complete! Our tip for connoisseurs: If you want to consciously enjoy, you can also prepare the sauce with just 70 g of butter. There are more creative and delicious recipe ideas at maggi.de. , Maggi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43485-maggi-maggi-geniesser-sauce-hollandaise/,https://bilder.kolonial.no/local_products/750d7f03-3a5d-42a6-b55a-d0591ed23d6b.jpg?auto=format&fit=max&w=846&s=12d5b285778601955a12dcdb9fa90edd,0.97g,1.90g,2.60g,6.80g,27.40g,44.50g,1799kJ / 430kcal,,,,,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",Deutschland,"Stärke*, MILCHZUCKER*, 12% EIGELB*, Palmfett*, Jodsalz (Salz, Kaliumjodat), MILCHEIWEISSERZEUGNIS*, Hefeextrakt, Zucker*, natürliches Aroma* (mit MILCH), Kurkumaextrakt*, Aroma, Säuerungsmittel Citronensäure*. Kann GLUTENHALTIGES GETREIDE, SELLERIE, SENF und SOJA enthalten. ",250 Milliliter,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,"Maggi gourmet dill sauce ""low in fat",€0.99,"For all those who love creamy sauces but want to enjoy them consciously and lightly, the Maggi For connoisseurs dill sauce ""low-fat"" is just right. Although it contains less than 1.5% fat, the low-fat sauce is wonderfully creamy.The ideal sauce for fish and vegetablesThe Maggi Dill Sauce for connoisseurs tastes great with salmon, cod, pollock, shrimp and boiled fillet. If you want to have a meat-free or fish-free day, you can also serve the low-fat sauce with steamed vegetables and potatoes. Simply stir the contents of the bag into 250 ml of cold water with a whisk. Bring the sauce to the boil and cook for 3 minutes over low heat. Done!More creative and delicious recipe ideas can be found at maggi.de. , Maggi GmbH has provided the above information.",https://oda.com//de/products/45368-maggi-maggi-geniesser-dill-sauce-fettarm/,https://bilder.kolonial.no/local_products/d1a94a6f-cecb-4a1c-aa0c-0a26ad388a2a.jpg?auto=format&fit=max&w=842&s=a347e0071d84131d3d892729c2d689d7,1.10g,1.30g,1.70g,1.70g,1.20g,1.20g,168kJ / 40kcal,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,Germany,"UTATEN: WEIZENMEHL*, Kartoffelstärke*, SAHNEPULVER*, Jodsalz (Salz, Kaliumjodat), MILCHEIWEISSERZEUGNIS*, MAGERMILCHPULVER*, Hefeextrakt, 2,8% Dill*, Gewürze* (Knoblauch, Kurkuma), natürliche Aromen* (mit WEIZEN, MILCH, SENFÖL), MILCHZUCKER*, Palmfett*, Aroma, Zucker*, Säuerungsmittel Citronensäure*. Kann SELLERIE, EIER, SENF und SOJA enthalten. ",250 Milliliter,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,Maggi gourmet pepper cream sauce,€0.99,"Looking for a delicious sauce for a hearty meat dish? How about Maggi For Connoisseurs Pepper Cream Sauce? Spicy onions and whole green peppercorns give the sauce a delightfully savory flavor. And thanks to the whipped cream, the sauce is wonderfully creamy. , Maggi GmbH has provided the above information.",https://oda.com//de/products/46592-maggi-maggi-geniesser-pfeffer-rahmsauce/,https://bilder.kolonial.no/local_products/a27549cf-7ea2-4d33-8939-720da0a87d1c.jpg?auto=format&fit=max&w=842&s=48cab51b9088a37cf41c1c55f071d7a7,1.10g,1.30g,1.60g,1.60g,9g,9g,461kJ / 110kcal,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,"Kartoffelstärke*, WEIZENMEHL*, Jodsalz (Salz, Kaliumjodat), 5,6% Pfeffer* (grüner Pfeffer, 2,4% grüne Pfefferkörner), Hefeextrakt, Gewürze* (Zwiebeln, Knoblauch, Nelken), geräucherter Speck* (Speck, Salz, Rauch), Tomaten*, Palmfett*, natürliche Aromen* (mit WEIZEN), Pilze*, Kräuter* (Rosmarin, Lorbeer), Karamellzucker*, MILCHZUCKER*, Säuerungsmittel Citronensäure*, Paprikaöl*, MILK PROTEIN PRODUCT*.  May  contain CELERY , EGGS , MUSTARD and SOY .      ",250 milliliters,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,Maggi gourmet asparagus cream soup,€1.19,"With Maggi Bon appetit asparagus cream soup, you can easily bring a creamy soup with a fine asparagus taste to the table outside of the asparagus season. The creamy soup, refined with delicious chives, is perfect for all vegetarian soup fans who want to quickly prepare a tasty and simple cream of asparagus soup. , Maggi GmbH has provided the above information.",https://oda.com//de/products/44245-maggi-maggi-geniesser-spargel-cremesuppe/,https://bilder.kolonial.no/local_products/22715dd5-476a-400a-b611-a6008931fffd.jpg?auto=format&fit=max&w=846&s=be4e8ee964398aa9feb2b636fbfcdc14,0.79g,1.40g,2.10g,,,,,,,,,"Stärke, MAGERMILCHPULVER, WEIZENMEHL, Palmfett, 7,8% Spargel, Jodsalz (Salz, Kaliumjodat), Aromen (mit WEIZEN), MILCHEIWEISSERZEUGNIS, Zucker, MILCHZUCKER, Petersilie, Gewürze (Muskatnuss, Pfeffer, Kurkuma), Hefeextrakt. Kann SELLERIE, EIER, SENF und SOJA enthalten. ",51 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,2.10g,1 g,1 g,163 kJ / 39 kcal,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,Maggi Fix Chinese Chop Suey Pan,€1.09,"Fancy a delicious Chinese pan? With Maggi Fix for Chinese pan chop suey, the delicious Asian dish succeeds without any problems. The delicious Chinese dish with spicy seasoning and fresh ingredients can be perfectly integrated into everyday life. Chinese dishes that always taste good and turn out well. Chop suey is very popular among fans of Chinese dishes. Hearty meat, delicious vegetables and aromatic spices such as ginger and chili make for a culinary highlight. With Fix for Chinese pan chop suey, you can bring a lot of flavor to the plate with little effort. , Maggi GmbH has provided the above information.",https://oda.com//de/products/45818-maggi-maggi-fix-china-pfanne-chop-suey/,https://bilder.kolonial.no/local_products/a7c0705a-1d75-46fa-857c-97ce71c2a108.jpg?auto=format&fit=max&w=842&s=ccee4af7d231d4f504c7d829359c23fe,0.63g,7.90g,2.10g,2.10g,0.90g,0.90g,450kJ / 108kcal,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,"Corn starch*,  sugar*,  iodized salt  (salt,  potassium iodate), potato  starch*,  soy sauce powder  (SOYBEANS*, WHEAT  salt  *), caramelized sugar  *,  black fungus mushrooms*,  flavorings  (with  WHEAT ), 2% ginger*, bamboo shoots*, Chili*, paprika*, vinegar extract*, sunflower oil*, paprika extract*, natural flavors*, seasoning* (from WHEAT ), salt. *natural ingredients. Can CELERY , EGGS , MILK and                      Contain MUSTARD  . ",34 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Maggi heart kitchen Chili con Carne,€1.09,"This is how Grandma Chili cooked: Her secret recipe with tomatoes, onions, sweet paprika and lots of love. You can now do that too. With the spice paste you conjure up a delicious chilli on the table and a smile on everyone's face. Without preservative substances. , Maggi GmbH has provided the above information.",https://oda.com//de/products/46266-maggi-maggi-herzenskuche-chili-con-carne/,https://bilder.kolonial.no/local_products/a40fe3dd-0d90-4d88-9973-d282cb0abada.jpg?auto=format&fit=max&w=545&s=8cc27a67814ee109771eedc7e3b91f71,0.87g,7.60g,2.20g,2.20g,5.50g,5.50g,457kJ / 109kcal,,,,,"39,4% Tomatenmark*, karamellisierte Zwiebeln (Zwiebeln*, Sonnenblumenöl*, Zucker*, Salz, Zitronensaftkonzentrat*), Gewürze* (Paprika, Kreuzkümmel, Knoblauch, Curry [mit SENF]; 0,5% Chili, Pfeffer), Sonnenblumenöl*, Meersalz*, Zucker*, Branntweinessig*, 1,6% Tomaten*, Knoblauchpüree*, Thymian*, Salz, Karamellzuckersirup* (Zucker, Wasser), Maisstärke*, natürliches Aroma*. *Natürliche Zutaten. Kann MILCH enthalten. ",65 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
