,,,,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents.1,Possible delivery times.1,Weight,Characteristics,supplier,Information about the offer,region,supplier.1,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics.1,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt.1,Protein,fiber,Zucker,carbohydrates.1,hereof: saturated fatty acids.1,Fett,calorific value.1,Ingredients/Ingredients.1,Freshness guarantee (minimum).1,fiber.1,Information about the offer.1,May contain traces of,May contain traces of.1,storage,drained weight,storage.1,Variable weight,Description.1,drained weight.1,distributor,Notice,Polyunsaturated fatty acids,Monounsaturated fatty acids,particularities,weight class,grade,Size,Size.1,Delivery days,Freshness guarantee,Product InformationThe supplier has not provided us with detailed information about this product.View all Alpro products,sodium,deposit,deposit.1
1007,,,,Block House Tzatziki,€2.19,"Zaziki with cucumber and garlic. , BLOCK HOUSE has provided the above information.",https://oda.com//de/products/55862-block-house-block-house-zaziki/,https://bilder.kolonial.no/local_products/46242fb6-adeb-406f-88fe-c9e64104e100.jpg?auto=format&fit=max&w=1000&s=3c8a57e225b6fd5893e032dd69c25fbd,,,,200 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"BLOCK HOUSE, 22339 Hamburg",Deutschland,,,,,,,,,1.20g,3.10g,2.80g,4.90g,6g,9.50g,496kJ / 119kcal,"JOGHURTERZEUGNIS AUS SAHNE mit 10% Fett (VOLLMILCH, SAHNE, modifizierte Wachsmaisstärke, MILCHEIWEIßERZEUGNIS, Verdickungsmittel (Agar-Agar, Pektin), Milchsäurekulturen) (72%), Wasser, Gurken (7%), Knoblauch (3%), Olivenöl, modifizierte Stärke, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Weinessig, Zucker, Gewürze, Verdickungsmittel (Xanthan) ",4 days,,,,,,,,,,,,,,"Eier, Sojabohnen, Sellerie, Senf, Sesamsamen.",,,,,,,,,,,,,,,,,,,,,
1008,,,,Arla Kaergarden Balance unsalted,€2.59,"Arla Kærgården® Balance Unsalted is the perfect solution for anyone who wants to take care of their figure without giving up the taste of butter. With 30 percent less fat than commercial butter, Arla Kærgården® Balance is an ideal part of a balanced diet. The mixed fat spread combines the best butter with valuable rapeseed oil. Arla Kærgården® Balance Unsalted is also the ideal ingredient for baking, roasting and cooking. , Arla Foods Deutschland GmbH has provided the above information.",https://oda.com//de/products/44733-arla-arla-kaergarden-balance-ungesalzen/,https://bilder.kolonial.no/local_products/e499c98f-7d7e-4d63-acb8-f1d9607ec618.jpg?auto=format&fit=max&w=1000&s=23802c211cf05f37e37ccf0c971b2d57,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Arla Foods Deutschland GmbH, Wahlerstrasse 2, 40470, Dusseldorf",,,,,Denmark,,,,,,,,,0.30g,0.40g,0.40g,22g,57g,2121kJ / 507kcal,"BUTTER  (40%),  water,  rapeseed oil  (25%),  lactic acid culture  (contains  MILK ). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,Lettuce King Tzatziki,€1.99,"A Greek quark/yoghurt specialty with fresh cucumbers, garlic and fine herbs. , Wernsing Feinkost GmbH, 49632, Addrup-Essen, DE has provided the above information.",https://oda.com//de/products/47136-salatkonig-salatkonig-tzatziki/,https://bilder.kolonial.no/local_products/792e4a5b-5d6f-4610-8244-586bffca3efb.jpg?auto=format&fit=max&w=250&s=ebfca5afed925b2590e8f9c06e349d7a,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Wernsing Feinkost GmbH, 49632, Addrup-Essen, DE, Kartoffelweg 1, D-49632 Addrup-Essen/Oldb, Deutschland",Deutschland,,,,,,,,,0.90g,4.40g,3.90g,,,,,"SPEISEQUARK Magerstufe 29%, Gurken 19%, Rapsöl, Wasser, JOGHURTERZEUGNIS 11%, Knoblauch 3%, Zwiebeln, Maisstärke, EIGELB, Zucker, Branntweinessig, SENFSAATEN, Kräuter, Gewürze, Speisesalz,
Traubenzucker, Konservierungsstoffe: Kaliumsorbat, Natriumbenzoat; Verdickungsmittel: Guarkernmehl, Xanthan. ",,,,,,5.70 g,1.50 g,18.20 g,852 kJ / 206 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,Lettuce King Tzatziki,€2.49,"A Greek quark/yoghurt specialty with fresh cucumbers, garlic and fine herbs. , Wernsing Feinkost GmbH, 49632, Addrup-Essen, DE has provided the above information.",https://oda.com//de/products/42709-salatkonig-salatkonig-tzatziki/,https://bilder.kolonial.no/local_products/5e5fc04d-7673-4cdb-84c9-0d7cd0b229be.jpg?auto=format&fit=max&w=250&s=912bfce2d1a85f97de27e5038ab94d83,,,,500 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Wernsing Feinkost GmbH, 49632, Addrup-Essen, DE, Kartoffelweg 1, D-49632 Addrup-Essen/Oldb, Deutschland",Deutschland,,,,,,,,,0.90g,4.40g,3.90g,,,,,"SPEISEQUARK Magerstufe 29%, Gurken 19%, Rapsöl, Wasser, JOGHURTERZEUGNIS 11%, Knoblauch 3%, Zwiebeln, Maisstärke, EIGELB, Zucker, Branntweinessig, SENFSAATEN, Kräuter, Gewürze, Speisesalz,
Traubenzucker, Konservierungsstoffe: Kaliumsorbat, Natriumbenzoat; Verdickungsmittel: Guarkernmehl, Xanthan. ",,,,,,5.70 g,1.50 g,18.20 g,852 kJ / 206 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,Arla Kaergarden Organic unsalted,€2.59,"The combination of the best organic pasture milk butter* and valuable organic rapeseed oil makes Arla Kærgården® Bio so unique. Thanks to the recipe, Arla Kærgården® Organic Unsalted is spreadable and ready to use straight from the fridge. Arla Kærgården® Organic Unsalted is ideal for baking, roasting and cooking and is of course also delicious as a spread. *The cows graze seasonally, from spring to autumn - at least 120 days a year for at least 6 hours a day. , Arla Foods Inc. has provided the above information.",https://oda.com//de/products/46097-arla-arla-kaergarden-bio-ungesalzen/,https://bilder.kolonial.no/local_products/a3e99227-bfee-4c9c-9b04-906a4dd96e0b.jpg?auto=format&fit=max&w=1000&s=f9f5d435a9ada1f3117b44107385771c,,,,200 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,organic product,"Arla Foods Inc., Wahlerstrasse 2, 40472 Dusseldorf, Germany",,,,,,,,,,,,,0.01g,0.50g,0.60g,0.60g,72g,72g,2683kJ / 641kcal,"BUTTER  (65%),  rapeseed oil  (19%),  water,  lactic acid culture  (contains  MILK ). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,Salad King Potato Cream,€2.49,"A quark/yoghurt preparation with fresh cucumbers and fine herbs. , Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/43646-salatkonig-salatkonig-kartoffelcreme/,https://bilder.kolonial.no/local_products/27d6860c-9e1f-487e-846e-35b42da9c936.jpg?auto=format&fit=max&w=250&s=fb99c23fa84674f820d9846d6074d84f,,,,500 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Deutschland",Deutschland,,,,,,,,,0.82g,4.40g,5g,,,,,"SPEISEQUARK Magerstufe 30%, Rapsöl, Wasser, Gurken 12%, JOGHURTERZEUGNIS 12%, Zucker, Maisstärke, EIGELB, Branntweinessig, Zwiebeln, SENFSAATEN, Speisesalz, Kräuter, Gewürze, Dextrose, Säuerungsmittel: Citronensäure, L-(+) Weinsäure; Verdickungsmittel: Guarkernmehl; Konservierungsstoffe: Kaliumsorbat, Natriumbenzoat. ",,,,,,6.80g,1.90 g,22.30 g,1017 kJ / 246 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,Arla Kaergarden Balance salted,€2.59,"Arla Kaergarden Balance, salted. Arla Kaegraden Balance contains 30% less fat than butter. Made from the best butter for the fine buttery taste and with valuable rapeseed oil for spreadability - even straight from the fridge. , Arla Foods Deutschland GmbH has provided the above information.",https://oda.com//de/products/55252-arla-arla-kaergarden-balance-gesalzen/,https://bilder.kolonial.no/local_products/ff82fef3-c694-4a34-90ea-426dae60e201.jpg?auto=format&fit=max&w=1000&s=6822011e66bb3764d898783bfceb1463,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Arla Foods Deutschland GmbH, Wahlerstrasse 2, 40470, Dusseldorf",,,,,Germany,,,,,,,,0.90g,0.30g,0.40g,0.40g,22g,57g,2121kJ / 507kcal,"BUTTER  (40%),  water,  rapeseed oil  (25%),  lactic acid cultures  (contains  MILK ), salt (0.9%).   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,Alexios Zaziki,"1,79€","Nach griechischer Art. Mit knackigen Gurken und delikatem Knoblauch. , Elsdorfer Molkerei und Feinkost GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42272-alexios-alexios-zaziki/,https://bilder.kolonial.no/local_products/072d41a7-f5bf-483d-9217-3357e4342db2.jpg?auto=format&fit=max&w=939&s=c651afca95471980f216325fb2e8c73a,,,,,,"cheese, eggs and dairy products",Butter & Spreads,oda,,,500 Gramm,daily,,,,,,"Elsdorfer Molkerei und Feinkost GmbH, Molkereistraße 6, 27404 Elsdorf, Deutschland",,,,,,,,,,,,,,,,,,,0.88 g,3.40 g,,3.70 g,3.70 g,7.90 g,7.90 g,450 kJ / 108 kcal,"JOGHURT mild (80,6%), Gurken (12,2%), Knoblauch (3,1%), modifizierte Stärke, natives Olivenöl, Speisesalz, Stärke, Rapsöl, weißer Pfeffer, Branntweinessig. ",5 Tage,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,Arla Kaergarden unsalted,€5.19,"The combination of the best in butter and valuable rapeseed oil is what makes Arla Kærgården® so unique. Thanks to its recipe, Arla Kærgården® Unsalted is spreadable and ready to use straight from the fridge. Arla Kærgården® Unsalted is ideal for baking, roasting and cooking and is of course also delicious as a spread. , Arla Foods Deutschland GmbH has provided the above information.",https://oda.com//de/products/50699-arla-arla-kaergarden-ungesalzen/,https://bilder.kolonial.no/local_products/c2f88cd6-e64d-4986-b11c-1a496726920f.jpg?auto=format&fit=max&w=1000&s=3d905221895056746d8d0ce536c677e3,,,,500 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Arla Foods Deutschland GmbH, Wahlerstrasse 2, 40470, Dusseldorf",,,,,Denmark,,,,,,,,0.01g,0.50g,0.60g,0.60g,35g,72g,2683kJ / 641kcal,"BUTTER  (65%),  rapeseed oil  (19%),  water,  lactic acid cultures  (contains  MILK ). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,Milram Sour Cream,"1,49€","Milram Sour Cream 185g , DMK Deutsches Milchkontor GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43600-milram-milram-sour-cream/,https://bilder.kolonial.no/local_products/e4ae022e-3ba1-4caf-a8df-c7ae64b8e07f.jpg?auto=format&fit=max&w=1000&s=cb6ee1fbf92aad161f95e755835adca1,,,,,,"cheese, eggs and dairy products",Butter & Spreads,oda,,,185 Gramm,daily,,,,,,"DMK Deutsches Milchkontor GmbH, 27400 Zeven, Germany",Deutschland,,,,,,,,,1.10g,8.20g,3.70g,3.90g,6.70g,10.90g,617kJ / 148kcal,,,,,,,,,,,"SPEISEQUARK Magerstufe, SAHNE, SAUERMILCHERZEUGNIS, 2% Mayonnaise (Rapsöl, Wasser, EIGELB, Zucker, SENF, Branntweinessig, Speisesalz, Traubenzucker, Säuerungsmittel Citronensäure, Gewürze), Branntweinessig, Speisesalz, Zwiebeln, Stärke, Petersilie, Schnittlauch. ",4 Tage,,,,,,,,,,,,,,,,,,,,,,,,,
1017,,,,Arla Kaergarden unsalted Danish mixed spread,€2.59,"The combination of the best in butter and valuable rapeseed oil is what makes Arla Kærgården® so unique. Thanks to its recipe, Arla Kærgården® Unsalted is spreadable and ready to use straight from the fridge. Arla Kærgården® Unsalted is ideal for baking, roasting and cooking and is of course also delicious as a spread. , Arla Foods Inc. has provided the above information.",https://oda.com//de/products/46499-arla-arla-kaergarden-ungesalzen-dan-mischstreichfe/,https://bilder.kolonial.no/local_products/667d476e-5147-41ed-b865-e24bec3263fb.jpg?auto=format&fit=max&w=1000&s=b8960786f7d719692218018d0ff2aa91,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Arla Foods Inc., Wahlerstrasse 2, 40472 Dusseldorf, Germany",,,,,Denmark,,,,,,,,0.01g,0.50g,0.60g,0.60g,72g,72g,2683kJ / 641kcal,"BUTTER  (65%),  rapeseed oil  (19%),  water,  lactic acid culture  (contains  MILK ). ",,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
1018,,,,Rama Vegabetter 100% natürliche Zutaten,"1,89€"," , Upfield Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44946-rama-rama-vegabetter-100-naturliche-zutaten/,https://bilder.kolonial.no/local_products/7743421a-aa91-4dce-90ea-44ab92f54127.jpg?auto=format&fit=max&w=1000&s=41d55e7ed34504f53209a64a4d7c1f15,,,,,,"cheese, eggs and dairy products",Butter & Spreads,oda,,,225 Gramm,daily,,,,,,"Upfield Germany, Postfach 10 25 27, 20017 Hamburg, Deutschland",,,,,,,,,,,,,,,,,,,0 g,0.50 g,,0.50 g,0.50 g,32 g,79 g,2931 kJ / 713 kcal,"Pflanzliche Fette und Öle (Raps, Kokos, Sonnenblumen, in veränderlichen Gewichtsanteilen), Trinkwasser, Ackerbohnenprotein, Emulgator (Lecithine), natürliche Aromen, Vitamine (D2, B1, B2, B6, B12, Folsäure), Farbstoff (Carotin), Glucose.",,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,Apostle's Sour Cream,€1.09,"Apostle's Sour Cream 250g , Apostle Greek Specialties has provided the above information.",https://oda.com//de/products/46588-apostels-apostels-sour-cream/,https://bilder.kolonial.no/local_products/0c66842a-54ea-440b-bc67-90f196b9151c.jpg?auto=format&fit=max&w=1000&s=7a130a594ba2c7ecdec7c2caa836c035,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Apostle Greek Specialties, Heinkelstrasse 11, D-30827 Garbsen, Germany",,,,,Germany,,,,,,,,0.80g,4.60g,5.50g,9.50g,5.60g,10.80g,640kJ / 154kcal,"Yogurt product  89  %  ( Whole MILK , modified corn starch, MILK PROTEIN , yogurt cultures), rapeseed oil, SOUR CREAM, coconut fat , extra virgin olive oil , CREAM CHEESE DOUBLE CREAM , lemon juice, sea salt, herbs 0.15 %, pepper, garlic, thickeners (agar-agar, pectins) .                        ",6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,Rama with butter and sea salt,€1.89,"With a butter content of 10%, the melange variant Rama with butter combines the best of butter with the goodness of Rama. Not only does it taste delicious, it also contains good vegetable oil and is easy to spread when chilled. Rama with butter contains 70% fat. For those who like it salty, there is this variant with sea salt. Rama with butter and sea salt is the delicious combination for every breakfast moment and makes fresh rolls, croissants and bread an even greater breakfast pleasure. Rama with Sea Salt Butter is free from artificial colors and flavors. It is available in the refrigerated section in a resealable 225g cup with a silver rim. , Upfield Germany has provided the above information.",https://oda.com//de/products/46322-rama-rama-mit-butter-und-meersalz/,https://bilder.kolonial.no/local_products/b81768d7-a4ab-4196-85ba-f0c95a617e7a.jpg?auto=format&fit=max&w=1000&s=a2304ec1fd2095d66acb8c4719655409,,,,225 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Upfield Germany, Postfach 10 25 27, 20017 Hamburg, Deutschland",Deutschland,,,,,,,,,,,,,,,,"Pflanzliche Fette und Öle (Palm, Raps), Trinkwasser, BUTTER 10%, BUTTERMILCH, Meersalz (1%), Emulgator (Sonnenblumenlecithine), Säuerungsmittel (Milchsäure), natürliches Aroma. ",,1 g,,,,,70 g,70 g,2602 kJ / 622 kcal,,,,,,,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,
1021,,,,Apostle's tzatziki,€1.79,"Apostle's Tzatziki 550g , Apostle Greek Specialties has provided the above information.",https://oda.com//de/products/47581-apostels-zaziki/,https://bilder.kolonial.no/local_products/e08564f7-7a0a-4b3c-af06-c9bdcdd37b44.jpg?auto=format&fit=max&w=1000&s=8411d6e923aa24ecad44d46a69ed6b77,,,,500 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Apostle Greek Specialties, Heinkelstrasse 11, D-30827 Garbsen, Germany",,,,,Germany,,,,,,,,1g,4g,4.50g,8.20g,3.20g,6.60g,456kJ / 109kcal,"Yoghurt product  80%  ( whole MILK , modified corn starch, MILK PROTEIN , yoghurt cultures), fresh cucumbers 12%, garlic 4%, extra virgin olive oil , coconut fat, rapeseed oil, sea salt, wine vinegar , pepper, thickeners ( agar-agar and pectins).                      ",5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,Dahlhoff Aioli Cream,€2.39,"Aioli Cream , Dahlhoff Feinkost GmbH has provided the above information.",https://oda.com//de/products/42313-dahlhoff-feinkost-dahlhoff-aioli-creme/,https://bilder.kolonial.no/local_products/cf60a47a-e7b4-4d92-93c4-176791fbe83f.jpg?auto=format&fit=max&w=1000&s=87b15c2b95c4090d58d9575b4af14832,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Dahlhoff Feinkost GmbH, Annabergstrasse 150, 45721 Haltern am See, Germany",,,,,Germany,,,,,,,,1.20g,3.80g,5.60g,6.10g,3.90g,58g,2329kJ / 565kcal,"Rapeseed oil,  QUARK  (lean),  EGG yolk , sugar, brandy vinegar, garlic 1%, table salt, mustard [water, MUSTARD SEED , brandy vinegar, table salt, sugar, spices], lemon juice concentrate, natural flavor.                ",5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,Rama with butter,€1.85,"With a butter content of 10%, Rama with Butter combines the best of butter with the good of Rama. Not only does it taste delicious, it also contains good vegetable oil and is easy to spread when chilled. Rama with butter contains 70% fat and relies entirely on ingredients that have their origins in nature. It contains no coloring and flavorings and no preservatives. Rama with butter is the delicious combination for every breakfast moment and makes fresh rolls, croissants and bread an even greater breakfast pleasure. Rama with butter is free from artificial colors and flavors. It is available in the refrigerated section in a resealable 225g cup with a golden rim. , Upfield Germany has provided the above information.",https://oda.com//de/products/46403-rama-rama-mit-butter/,https://bilder.kolonial.no/local_products/4d559bbb-4565-40e3-9cf4-38d06dc05f0c.jpg?auto=format&fit=max&w=1000&s=92c1ea900117ec2661303f42550867d7,,,,225 Gramm,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Upfield Germany, Postfach 10 25 27, 20017 Hamburg, Deutschland",Deutschland,,,,,,,,,,,,,,,,,,0.01 g,,,,,70 g,70 g,2602 kJ / 622 kcal,"Pflanzliche Fette und Öle (Palm, Raps), Trinkwasser, 10% BUTTER, BUTTERMILCH, Emulgator (Sonnenblumenlecithin), Säuterungsmittel (Milchsäure), natürliches Aroma. ",,,,,,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,
1024,,,,Dahlhoff Knoblauch Dip,"2,39€","Knoblauch-Creme-Dip , Dahlhoff Feinkost GmbH has provided the above information.",https://oda.com//de/products/42619-dahlhoff-feinkost-dahlhoff-knoblauch-dip/,https://bilder.kolonial.no/local_products/28198c98-6fb6-42cb-860f-8eb845d1ef3e.jpg?auto=format&fit=max&w=1000&s=f21bfc89f5d809e8802adbf10df27c72,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Dahlhoff Feinkost GmbH, Annabergstraße 150, 45721 Haltern am See, Deutschland",Deutschland,,,,,,,,,,,,,,,,"Rapsöl, SPEISEQUARK (Magerstufe), marinierte Zwiebeln 7 % [Zwiebeln, Branntweinessig, Speisesalz, Säuerungsmittel: Citronensäure, Äpfelsäure, Weinsäure; Antioxidationsmittel: Ascorbinsäure], EIGELB, Zucker, Branntweinessig, Knoblauch 1 %, Speisesalz, Senf [SENFSAAT, Branntweinessig, Speisesalz, Zucker, Gewürze], Schnittlauch, Gewürze, Zitronensaftkonzentrat, Zwiebelpulver, natürliches Aroma. ",4 days,0.90 g,5.30 g,,5.40 g,5.70 g,2.90 g,43 g,1767 kJ / 428 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,Dahlhoff Italia Dip,€2.49,"Italia cream dip , Dahlhoff Feinkost GmbH has provided the above information.",https://oda.com//de/products/44011-dahlhoff-feinkost-dahlhoff-italia-dip/,https://bilder.kolonial.no/local_products/0f02102c-f71e-49de-9619-7b33a47dcca6.jpg?auto=format&fit=max&w=945&s=775b770a2b358d59feb5f76549bbd464,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,,,,"Dahlhoff Feinkost GmbH, Annabergstraße 150, 45721 Haltern am See, Deutschland",Deutschland,,,,,,,,,,,,,,,,"Rapsöl, SPEISEQUARK (Magerstufe), Paprika 7 %, marinierte Zwiebeln 5 % [Zwiebeln, Branntweinessig, Speisesalz, Säuerungsmittel: Citronensäure, Äpfelsäure, Weinsäure; Antioxidationsmittel: Ascorbinsäure], Zucker, EIGELB, Tafelmeerrettich [Meerrettich, Branntweinessig, Wasser, Rapsöl, Säuerungsmittel: Citronensäure; Speisesalz, Dextrose], Branntweinessig,
Auberginen 1 %, Peperoni, Speisesalz, Sonnenblumenöl, Senf [SENFSAAT, Branntweinessig, Speisesalz, Zucker, Gewürze], Zitronensaftkonzentrat, Schnittlauch, natürliches Aroma, Knoblauch. ",4 days,0.60 g,4.80 g,,6.60 g,6.80 g,2.70 g,40 g,1685 kJ / 408 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,,,,Dairygold Irish Butter,€2.79,"A traditional Irish butter made using all the Listowel buttercraft expertise. With a full-bodied, creamy, natural taste. , Kerry Group PLC has provided the above information.",https://oda.com//de/products/47850-dairygold-dairygold-irische-butter/,https://bilder.kolonial.no/local_products/a37491a8-9493-4cda-8ae3-e5d3e19f3dd1.jpg?auto=format&fit=max&w=1000&s=b4da76a766f2f61887ba73fa9befea35,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Kerry Group PLC, Neckarstrasse 9, 65239 Hochheim am Main, Germany",,,,,,,,,,,,,0.02g,0.60g,0.70g,0.70g,82.50g,82.50g,3075kJ / 735kcal,BUTTER . ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,,,,Dahlhoff Kräuter Aioli,"2,49€","Kräuter-Aioli , Dahlhoff Feinkost GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45984-dahlhoff-feinkost-dahlhoff-krauter-aioli/,https://bilder.kolonial.no/local_products/2839f1cd-b3f9-4680-ab4b-2065d1d8f3da.jpg?auto=format&fit=max&w=1000&s=17d7b525835760d3f55b34cddfca21bf,,,,,,"cheese, eggs and dairy products",Butter & Spreads,oda,,,250 Gramm,daily,,,,,,"Dahlhoff Feinkost GmbH, Annabergstraße 150, 45721 Haltern am See, Deutschland",Deutschland,,,,,,,,,,,,,,,,,,1.10 g,3.60 g,,5.20 g,7.10 g,4.50 g,56 g,2261 kJ / 549 kcal,"Rapsöl, SPEISEQUARK (Magerstufe), EIGELB, Zucker, Kräuterzubereitung 2 % [Petersilie, Speisesalz, Antioxidationsmittel: Natriumascorbat; Säureregulator: Natriumcarbonat], Branntweinessig, Knoblauch 1 %, Speisesalz, natürliches Aroma, Senf [SENFSAAT, Branntweinessig, Speisesalz, Zucker, Gewürze], Pflanzenextrakte [Zucker, Spirulina*, Saflor*, Säureregulator: Natriumcitrate; Maltodextrin], Schnittlauch, Zitronensaftkonzentrat. *als färbendes Lebensmittel ",,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,Dairygold Irish butter easy to spread,€2.59,"Dairygold easy to spread unsalted has the full-bodied taste of Dairygold and is conveniently spreadable straight from the fridge. , Henry Denny & Sons aka Kerry Foods Charleville has provided the above information.",https://oda.com//de/products/50703-dairygold-dairygold-irische-butter-streichzart/,https://bilder.kolonial.no/local_products/7af1a826-d4c8-4546-8c9e-1eae52543292.jpg?auto=format&fit=max&w=1000&s=b08aa81e81368da22945798f4ce560c6,,,,250 grams,daily,"cheese, eggs and dairy products",Butter & Spreads,oda,,,,,,,"Henry Denny & Sons aka Kerry Foods Charleville, 66 Cookstown Industrial Estate, Tallaght, Dublin 24, Ireland.",,,,,,,,,,,,,0.02g,0.60g,0.40g,0.40g,65g,65g,2407kJ / 575kcal,"63%  BUTTER , water, 13% rapeseed oil.    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,,,,Kerrygold extra with sea salt,€2.95,"Kerrygold extra ist eine Kreation aus Original Irischer Butter und wertvollem Rapsöl mit Meersalz. Die Zugabe von Rapsöl macht sie auch gekühlt besonders streichfähig. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44798-kerrygold-kerrygold-extra-m-meersalz/,https://bilder.kolonial.no/local_products/466d919f-b55a-421f-b430-41cbf44ce6cd.jpg?auto=format&fit=max&w=1000&s=90890682d79a884410ba3472ebc115a8,,,,,,"cheese, eggs and dairy products",Butter & Spreads,oda,,,250 Gramm,daily,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1 , D-47506 Neukirchen-Vluyn, Deutschland",Irland,,,,,,,,,,,,,,,,,,1 g,0.50 g,,0.50 g,0.50 g,65 g,65 g,2422 kJ / 579 kcal,"Butter(63%), Wasser, Rapsöl (13%), Meersalz (1%).",,,,,,,,,,,,,,,,,,,,,,,,,,
